[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由NordVPN赞助
[00:31:52] 台湾前烟角木的时代了
[00:31:54] 所以当时你那边靠北说
[00:31:55] 台湾前烟角木
[00:31:56] 你爸妈没有在做事情
[00:31:57] 那台湾前再一次的烟角木
[00:31:59] 各位真的要好好的努力
[00:32:01] 我觉得就是因为台湾的东西
[00:32:02] 真的是太多了
[00:32:03] 所以导致有些题材
[00:32:04] 它没有办法走出去
[00:32:05] 因为市场有太多的选择
[00:32:07] 我觉得我自己的体感是这样
[00:32:08] 我们自己身边有些朋友
[00:32:09] 也是这样子的去做看待
[00:32:11] 所以其实基本面
[00:32:12] 特别是记忆体这一块
[00:32:13] 大家都知道
[00:32:14] 大家都知道好
[00:32:15] 大家都知道缺
[00:32:16] 你在可能最新的
[00:32:18] 苹果的电话会议
[00:32:19] 也再次跟你讲
[00:32:19] 后面的几个Q
[00:32:21] 记忆体的成本
[00:32:22] 就是有机会会跑到
[00:32:23] 大家看得到的一个样子
[00:32:24] 因为前面是
[00:32:25] 大家想说苹果的成本控的真好
[00:32:27] 它直接告诉你说
[00:32:28] 后面都还是会持续的去涨
[00:32:29] 所以其实你从各个交互去验证
[00:32:32] 都知道说
[00:32:32] 这个记忆体的
[00:32:33] 后续的状况是不错
[00:32:34] 但是你说股价
[00:32:35] 是不是就一定会
[00:32:36] 掉涨什么的
[00:32:37] 这个我真的没有办法跟你确定
[00:32:38] 我也不希望
[00:32:39] 这边跟大家讲的时候
[00:32:40] 然后大家觉得说
[00:32:40] 可以再冲进去再做一个波段
[00:32:42] 我不确定
[00:32:43] 就是基本没有就是这样
[00:32:44] 它可能会好一阵子
[00:32:45] 但是股价不一定的动
[00:32:46] 就像是回答可能从
[00:32:47] 2023到现在都很好
[00:32:49] 可是为什么前面可以横盘
[00:32:50] 可能这么久
[00:32:50] 不知道
[00:32:51] 为什么前面NASDA
[00:32:52] 会横盘横这么久
[00:32:53] 不知道
[00:32:53] 时间到我就盘上去
[00:32:54] 所以可能你觉得
[00:32:55] 都还不错的话
[00:32:56] 都可以再继续等看看
[00:32:57] 目前用产业的角度来讲
[00:32:59] 是确实没有看到
[00:33:00] 太多的问题出现
[00:33:01] 大概是这样
[00:33:02] 下面一位
[00:33:02] I love 2330
[00:33:04] 当股东也要当员工
[00:33:05] 蒙公奇卡尼奥
[00:33:06] 第一次来留言
[00:33:07] 小弟我是一个
[00:33:07] 股票小白家
[00:33:09] 捏软正线二宝吧
[00:33:10] 一年多前
[00:33:11] 误踏入股票世界
[00:33:13] 那只会傻傻的
[00:33:13] 买2330跟0050
[00:33:15] 半年前接触到
[00:33:16] 你的节目之后
[00:33:16] 关键上收益良多
[00:33:17] 现在已经是我上班
[00:33:19] 开车必听的podcast
[00:33:20] 那谢谢蒙公带我起飞
[00:33:21] 祝您全家
[00:33:22] 身体健康
[00:33:22] 事事顺心
[00:33:23] 那看来这一位
[00:33:25] 二宝吧
[00:33:25] 现在已经是赚到烂掉了
[00:33:27] 就是这两个东西
[00:33:28] 都是过去非常碰的
[00:33:29] 一个东西
[00:33:29] 那也希望你可以
[00:33:30] 身体健康
[00:33:31] 希望这个节目
[00:33:31] 可以持续的陪伴你
[00:33:32] 下面有一位
[00:33:33] 《轮陷驱气氛仔》
[00:33:35] 是我记错
[00:33:35] 还是赞助记错
[00:33:37] 上个礼拜的赞助说
[00:33:39] 巧虎5月5号生日
[00:33:40] 但我怎么记得是6月初
[00:33:41] 连孟公的危机词条
[00:33:43] 都是写6月
[00:33:44] Murmer
[00:33:44] Google生日出危机词条
[00:33:46] 也太猛
[00:33:47] 那可能孟公
[00:33:49] Chika已经不太记得
[00:33:50] 他也兴趣退散了
[00:33:52] 但还是要提醒一下
[00:33:52] 去年说死亡搁浅的
[00:33:54] 生日彩蛋
[00:33:54] 错过了
[00:33:55] 想要今年补上
[00:33:56] 那希望今年不会错过
[00:33:58] 那最后想要说
[00:33:59] 我和Faye
[00:34:00] 顺利完成
[00:34:01] 结婚登记了
[00:34:03] 也祝老公跟听众们
[00:34:04] 股票继续喷射
[00:34:05] 感爱你
[00:34:05] 恭喜老爷
[00:34:06] 贺喜夫人
[00:34:07] 希望你们新婚愉快
[00:34:09] 那死亡搁浅
[00:34:10] 对啊
[00:34:10] 已经很久没有玩了
[00:34:11] 因为就破了嘛
[00:34:12] 对
[00:34:13] 我突然间想到
[00:34:14] 那个生日彩蛋
[00:34:14] 真的蛮可爱的
[00:34:15] 就是会送披萨上来吧
[00:34:17] 好
[00:34:17] OK
[00:34:18] 那我也记得
[00:34:18] 尽量记得
[00:34:19] 要把它打开来看
[00:34:20] 然后再讲说
[00:34:20] 巧虎5月5号生日
[00:34:22] 然后后面讲说什么
[00:34:23] 孟公的危机词条
[00:34:24] 所以你到底在讲巧虎
[00:34:25] 是在讲那个
[00:34:26] 黄色的
[00:34:27] 教小朋友尿尿巧虎
[00:34:28] 还是你在讲我
[00:34:29] 因为我叫什么
[00:34:30] 直男巧虎嘛
[00:34:31] 巧虎的生日是几号
[00:34:32] 我是真的不知道
[00:34:33] 那我自己的生日的话
[00:34:34] 是6月没错
[00:34:35] 下面一位
[00:34:35] 勇者斗老婆
[00:34:37] 孟公等等
[00:34:38] 普隆德拉门口见
[00:34:39] 我给你的爱
[00:34:40] 写在戏院前
[00:34:41] 深埋在美索
[00:34:42] 布达米亚平原
[00:34:44] 用写新闻
[00:34:46] 自刻下了永远
[00:34:47] 那一风花
[00:34:49] 千年的誓言
[00:34:50] 一切又重演
[00:34:52] 更多详尽歌词
[00:34:53] 在魔晶.com
[00:34:55] 魔晶歌词网
[00:34:56] 每次听到这首歌
[00:34:57] 都觉得好像
[00:34:58] 回到13岁的那一间网咖
[00:35:00] 连隔壁的烟味
[00:35:01] 都好像闻得到
[00:35:02] 孟公大
[00:35:02] 你也会像我这样
[00:35:03] 听到某首歌
[00:35:04] 就好像整个人
[00:35:05] 被抽回到某个时光
[00:35:07] 而且是每次听
[00:35:08] 每次抽
[00:35:08] 会啊
[00:35:09] 歌本身就是一个
[00:35:10] 非常好的载体
[00:35:11] 甚至于我会到
[00:35:12] 某一些地方
[00:35:13] 刻意的去放一些歌
[00:35:14] 然后去把回忆
[00:35:15] 写在那一边
[00:35:16] 然后你每次放到那首歌
[00:35:17] 你就想到那个回忆
[00:35:18] 确实以前网咖
[00:35:19] 蛮多人都会把音乐
[00:35:20] 放出来
[00:35:21] 除了周杰伦
[00:35:22] 一定会轮播之外
[00:35:24] 还有像张韶涵
[00:35:25] 李圣洁
[00:35:26] 小鬼
[00:35:27] 罗志祥
[00:35:28] 然后再来
[00:35:29] 孙艳之
[00:35:30] 大家也很喜欢放
[00:35:31] 然后再来就什么
[00:35:32] 爱德
[00:35:33] 石肥
[00:35:33] 对说
[00:35:33] 也太多
[00:35:34] 那也超喜欢放的
[00:35:35] 然后跟
[00:35:35] 水甘来他改
[00:35:37] 水甘来标台
[00:35:38] 那个叫什么
[00:35:39] 忘记了
[00:35:40] 反正就是古惑仔
[00:35:41] 什么
[00:35:41] 黄丹幽灾
[00:35:42] 就是网咖
[00:35:43] 整天都在放
[00:35:43] 所以就是网咖
[00:35:44] 确实有一些歌是
[00:35:45] 就是你下一波
[00:35:47] 你真的是闻得到
[00:35:49] 那个椅子油油的味道
[00:35:50] 一些二手烟的味道
[00:35:52] 还有网咖泡面的味道
[00:35:53] 这是我们的回忆啦
[00:35:55] 那以前网了
[00:35:56] 整天跑去夜包
[00:35:57] 然后每次包完出来
[00:35:59] 你看到太阳
[00:36:00] 心情都很差
[00:36:01] 都在心中
[00:36:01] 然后跟隔壁的朋友
[00:36:02] 也会讲
[00:36:03] 就说妈的
[00:36:04] 明天一定不要这样
[00:36:05] 然后明天九月半
[00:36:05] 加班猫
[00:36:06] 加班猫几何
[00:36:07] 就是对
[00:36:08] 以前真的很喜欢打网咖
[00:36:09] 兄弟位
[00:36:10] 为什么埃及有金字塔
[00:36:12] 因为大英博物馆不够大
[00:36:14] 不知道
[00:36:14] 不灭掉
[00:36:15] 不想要
[00:36:16] 为什么
[00:36:16] 如果大英博物馆
[00:36:18] 里面有金字塔的话
[00:36:19] 那他可以改叫
[00:36:21] 大英金博物馆
[00:36:22] 梦工会焦虑吗
[00:36:23] 你都怎么样处理焦虑的
[00:36:25] 推荐两个YT频道
[00:36:26] 看得很舒压
[00:36:27] 第一个
[00:36:28] 斯文
[00:36:28] 专门讲宇宙的
[00:36:29] 看着那些
[00:36:30] 比人类不知道
[00:36:31] 大几倍的结构
[00:36:32] 听着相关的知识
[00:36:33] 会不知不觉的
[00:36:34] 忘记现实的烦恼
[00:36:37] 那也推荐去纽西兰
[00:36:38] 关心自己
[00:36:39] 亲身看一下
[00:36:39] 漂亮的宇宙
[00:36:40] 另外一个
[00:36:41] 街头小霸王
[00:36:42] 专去美国那些
[00:36:43] 鸟不生蛋
[00:36:44] 鸡不拉屎的地方
[00:36:46] 诚挚推荐
[00:36:46] MK给两个小宝贝
[00:36:48] 看
[00:36:48] 非常感谢
[00:36:49] 这位兄弟的推荐
[00:36:50] 那再讲说
[00:36:51] 会不会焦虑
[00:36:52] 比较少
[00:36:53] 比较不会去担心那些
[00:36:56] 应该说
[00:36:56] 刻意的有在训练
[00:36:57] 你不确定
[00:36:59] 会不会发生事情
[00:36:59] 就不要去想它了
[00:37:00] 一般就是
[00:37:01] 兵来降党
[00:37:01] 水来土岩
[00:37:02] 有事情再去做处理
[00:37:03] 可是如果今天
[00:37:04] 有事情没有处理完的话
[00:37:06] 那确实会
[00:37:06] 晚上是直接
[00:37:07] 没有办法睡觉
[00:37:08] 所以一般
[00:37:08] 我只要突然
[00:37:09] 今天想到一个东西
[00:37:09] 我可能那一天
[00:37:10] 就不用睡觉
[00:37:10] 我就跳起来
[00:37:11] 然后就一直
[00:37:11] 去疯狂的研究
[00:37:12] 然后去把它做完之类的
[00:37:14] 然后再讲说
[00:37:14] 宇宙相关的东西
[00:37:15] 其实我自己也非常喜欢
[00:37:16] 我喜欢看一些
[00:37:16] 天文相关的东西
[00:37:17] 然后或者是
[00:37:18] 不知道你刚才讲
[00:37:19] 一些什么宇宙状况
[00:37:21] 让我突然想到说
[00:37:22] 你知道那个创生之助吗
[00:37:23] 那创生之助呢
[00:37:25] 在Elden Ring里面
[00:37:26] 就是有人这样说
[00:37:27] 我不确定
[00:37:28] 是不是真的是这样
[00:37:29] 里面的那个手指
[00:37:30] 其实就是创生之助
[00:37:31] 我不知道怎么
[00:37:32] 跟你分享这个
[00:37:33] 我觉得蛮有趣的
[00:37:33] 下面一位
[00:37:34] 如舟柯家艳
[00:37:36] 梦公梦公我老公
[00:37:37] 嗨梦公起嘎
[00:37:38] 我跟未婚夫
[00:37:39] 在投资观念
[00:37:40] 人生观点
[00:37:41] 受你启发多年
[00:37:42] 真心感谢你
[00:37:43] 陪我们一起成长
[00:37:43] 我们一句一年后
[00:37:44] 要出国念
[00:37:45] 研究所两年
[00:37:46] 目标留在当地工作
[00:37:47] 目前的资产配置
[00:37:48] 90%台积电
[00:37:49] 可以申请学贷之外
[00:37:50] 还是需要准备
[00:37:52] 一笔现金在身上
[00:37:53] 这个时间点
[00:37:54] 很难说服自己卖出
[00:37:55] 那想请问
[00:37:56] 梦公起嘎
[00:37:56] 如果是这种人生大事
[00:37:58] VS投资持有的
[00:37:59] 情境之下
[00:37:59] 如何取舍
[00:38:00] 会建议如何调整
[00:38:01] 部位比较健康
[00:38:02] 还请求老公
[00:38:03] 叫化开始
[00:38:04] 感谢您
[00:38:05] 祝福老公一家
[00:38:06] 平安健康
[00:38:06] 家庭幸福美满
[00:38:08] 当然我会觉得
[00:38:09] 钱就是要拿来花的
[00:38:11] 所以怎么讲
[00:38:12] 这是一个很难的题目
[00:38:13] 因为你如果问我的话
[00:38:15] 我也希望说
[00:38:15] 每笔钱都丢进去市场里面
[00:38:17] 或是我们自己
[00:38:18] 身边一些朋友
[00:38:18] 这很好笑
[00:38:19] 因为我们
[00:38:19] 有可能在今年跟明年
[00:38:21] 要开餐厅
[00:38:21] 所以那时候
[00:38:22] 就有去弄一些东西
[00:38:23] 然后让自己
[00:38:23] 身边一些朋友去试吃
[00:38:25] 因为他们是我们的TA
[00:38:26] 你知道吗
[00:38:26] 就在林口的
[00:38:27] 辛瑞工程师
[00:38:28] 年收可能三五百万以上
[00:38:29] 我们知道说
[00:38:30] 他们可能对于这些花费
[00:38:31] 应该会比较宽松吧
[00:38:33] 因为都是已经有房子
[00:38:34] 又有钱的
[00:38:34] 结果没想到
[00:38:35] 他们都整天在跟我讲说
[00:38:36] 怎么没钱
[00:38:37] 怎么吃东西要怎么样
[00:38:38] 要省
[00:38:39] 然后怎么样少花一点
[00:38:40] 因为要拿去买股票
[00:38:42] 所以最后面发现说
[00:38:42] 这个阵头是
[00:38:43] 不管你是可能
[00:38:44] 年收五百到年收三千一亿
[00:38:46] 你都有一样的困扰
[00:38:47] 很多人的心态
[00:38:48] 他是过不去的
[00:38:49] 他就觉得他不想花钱
[00:38:50] 他想把所有钱都丢进去
[00:38:51] 市场里面继续滚
[00:38:52] 因为市场很好
[00:38:53] 就是这样子想
[00:38:53] 可是当今天市场不好的时候
[00:38:55] 你就会开始注意到
[00:38:55] 很多现动
[00:38:56] 就会po
[00:38:56] 什么很贵的酒
[00:38:57] 或是什么很好的车子
[00:38:59] 马的赔掉
[00:38:59] 不如去买台车
[00:39:00] 赔掉不如吃掉
[00:39:02] 所以那个是看市况的
[00:39:03] 我自己还是会比较占灾
[00:39:05] 如果说今天有一些
[00:39:06] 人生目标要去完成的话
[00:39:07] 钱就照哪来花
[00:39:09] 这是没有问题的
[00:39:10] 只是因为我们今天是
[00:39:11] 对市场有点了解的
[00:39:13] 我们对工具是了解的
[00:39:14] 我们可以有一些
[00:39:14] 折中的手段
[00:39:15] 这个我们以前节目
[00:39:17] 有跟大家分享过
[00:39:17] 股票质押
[00:39:18] 你可以把你的股票拿去质押
[00:39:20] 质押的利率
[00:39:22] 一般我是不知道大家是多少
[00:39:23] 可是我大概是2%多
[00:39:25] 一点点
[00:39:25] 可能有些高的
[00:39:26] 可能到2.5到2.7
[00:39:28] 但没有过3%
[00:39:29] 所以他其实是一个
[00:39:30] 非常低利的贷款
[00:39:31] 然后一般来说是这样
[00:39:34] 他是可以无限展延的
[00:39:36] 但一样我前面的利率
[00:39:37] 跟可不可以展延
[00:39:38] 我不敢讲的很满的原因
[00:39:39] 是因为我算是成交量大
[00:39:41] 然后券商的DEO
[00:39:42] 给我比较好的
[00:39:42] 那我后来知道说
[00:39:44] 有些散户
[00:39:44] 他可能没有办法
[00:39:45] 拿到这样子的DEO
[00:39:45] 所以你们要自己去问一下
[00:39:47] 那如果说他是可以
[00:39:48] 无限展延的
[00:39:49] 然后跟他的利率是低的话
[00:39:51] 你不一定要
[00:39:52] 现在把东西卖掉
[00:39:53] 我可不可以说
[00:39:53] 我先把我的股票都
[00:39:55] 直压进去
[00:39:55] 我先借一部分出来
[00:39:56] 然后让我可以先出国念书
[00:39:58] 如果说后来真的是
[00:39:59] 火烧屁股或什么的
[00:40:00] 我真的需要说
[00:40:01] 我就卖单薄品就好
[00:40:02] 因为你卖那个单薄品
[00:40:03] 单薄品就会自动
[00:40:04] 回充掉你的借款
[00:40:05] 所以他理论上
[00:40:07] 会让你有更多的弹性
[00:40:08] 东西不用卖
[00:40:09] 你一样可以去实践
[00:40:10] 出国的梦想
[00:40:11] 而且这也不算是
[00:40:12] 放大什么风险
[00:40:13] 因为你本来这个部位
[00:40:15] 你就是打算要卖
[00:40:16] 只是你现在延后去卖它而已
[00:40:17] 或者是你搞不好
[00:40:19] 有其他的收入
[00:40:19] 那你只需要有一根
[00:40:21] 类似蓄红池的概念
[00:40:22] 让你可以稍微周转一下
[00:40:23] 那就是一个非常好的选项
[00:40:25] 所以参考看看
[00:40:26] 股票指标
[00:40:26] 我可以去研究一下
[00:40:27] 那一样
[00:40:28] 我每次讲这种东西
[00:40:29] 我很怕的点是
[00:40:30] 就是一定会有一些快乐宝贝
[00:40:31] 他讲职丫
[00:40:33] 然后从下开始全部去职丫
[00:40:34] 然后后来大爆炸
[00:40:35] 所以自己要亮丽而为
[00:40:36] 下面有位
[00:40:36] 快乐宝贝大韭菜
[00:40:38] 有人cue我
[00:40:38] EP67的很持久大大
[00:40:40] 密码在这里
[00:40:41] 不过您也留言成功了
[00:40:43] 梦工取杆爱您
[00:40:44] 不但你还是没有讲密码是什么
[00:40:46] 那下面有位
[00:40:47] 祝世界健康平安
[00:40:49] 祝全世界的人都健康平安
[00:40:50] 感谢梦工优质导节目
[00:40:52] 我可爱的
[00:40:52] 雨昕出生就被检查出
[00:40:54] 听力异常
[00:40:55] 现在一岁四个月了
[00:40:56] 还是没有检验正常
[00:40:58] 无论是病毒或者基因衰减
[00:40:59] 都没有任何的问题
[00:41:01] 那先前听到其他的小孩
[00:41:03] 确定误判脱离煎熬
[00:41:04] 很替他们开心
[00:41:05] 真的好希望雨昕在未来
[00:41:07] 确定是误判
[00:41:07] 听力正常健康快乐成长
[00:41:09] 如果正常将捐出八万元
[00:41:11] 请梦工替我向观音大
[00:41:13] 祝福雨昕健康平安
[00:41:15] 也祝福梦工全家平安
[00:41:17] 所有听众健康
[00:41:18] 谢谢梦工
[00:41:19] 我们希望雨昕的耳朵
[00:41:20] 可以快点好起来
[00:41:21] 这个soundtrack
[00:41:22] 的左边
[00:41:23] 左边
[00:41:24] 右边
[00:41:25] 右边
[00:41:25] 听一听这个耳朵立刻好起来
[00:41:27] 让爸爸开心
[00:41:28] 希望你可以健康快乐平安的长大
[00:41:31] 我们自己身边也有朋友
[00:41:32] 他是小孩子有耳朵的问题
[00:41:34] 他蛮常见的
[00:41:35] 我印象中蛮常听到的
[00:41:36] 我印象中有些是
[00:41:38] 后面还是需要一些助听的东西
[00:41:40] 但他生活是无虑的
[00:41:42] 而且他助听的东西
[00:41:43] 其实是高科技
[00:41:44] 所以他不会像你想象的很不方便
[00:41:46] 这时候button line是这样
[00:41:48] 最差就是这样
[00:41:49] 那好的话
[00:41:49] 蛮多就突然间就好起来了
[00:41:51] 所以我们相信他会突然间就好起来
[00:41:52] 我们希望他可以顺利
[00:41:54] 下面一位
[00:41:54] 木榨蔡依林
[00:41:56] 梦工去卡
[00:41:56] 谢谢宁游子节
[00:41:57] 梦工去卡
[00:41:58] 您好
[00:41:58] 我男友是您的忠实粉丝
[00:42:00] 常常在开车的时候
[00:42:01] 一起收听您的节目
[00:42:02] 让我也入坑
[00:42:03] 谢谢你的优质分析
[00:42:04] 让我们收益良多
[00:42:04] 那希望可以用肌肉猛男的声音
[00:42:06] 祝福咒保罗生日快乐
[00:42:09] 在这边祝梦工去卡
[00:42:10] 全家平安家很快乐
[00:42:11] 谢谢
[00:42:11] 下面一位
[00:42:11] 这个怎么念
[00:42:12] 耶稣丁守中
[00:42:14] 妓女怎么赚钱
[00:42:16] 猜一个台湾地名
[00:42:17] 永康
[00:42:18] 括号台语
[00:42:19] 这是他讲的
[00:42:21] 这上面
[00:42:22] 什么耶稣丁守中
[00:42:23] 跟这个都不是我
[00:42:24] 都不是我讲到他讲的
[00:42:25] 他说下个礼拜四的晚上
[00:42:26] 不知道自己
[00:42:27] 我们会聊到
[00:42:28] 发哥的法说内容
[00:42:29] 注意到发哥自己
[00:42:30] 预估在27年
[00:42:31] ASIC的市占率
[00:42:32] 会拉到10到15%
[00:42:33] 但在这之前
[00:42:34] 已经看到
[00:42:34] 有人喊到2027
[00:42:35] 会到20%以上
[00:42:36] 这样的法说
[00:42:37] 算不算是不合预期
[00:42:38] 感谢回复
[00:42:39] 那最后再补一个好了
[00:42:40] 红牛跟十字架
[00:42:41] 有什么共同点
[00:42:42] 两个都可以提神
[00:42:43] Jesus Christ
[00:42:45] 观音
[00:42:46] 摩汉默德
[00:42:47] 这不是我讲
[00:42:47] 这不是他讲的
[00:42:48] 观音
[00:42:48] 这不是我讲的
[00:42:49] 那他前面讲的那个东西
[00:42:51] 对
[00:42:52] 也没错
[00:42:52] 市场会提早
[00:42:53] 喊出一些
[00:42:54] 蛮恐怖的数字
[00:42:55] 但是呢
[00:42:55] 必须得说
[00:42:56] 在发哥讲完之后
[00:42:58] 我看了几家
[00:42:58] 券商的报告
[00:42:59] 看他们开的数字
[00:43:00] 有些是比
[00:43:01] 我觉得市场
[00:43:02] 传的小作文的数字
[00:43:03] 都还高
[00:43:03] 不是有一个
[00:43:04] 有看到EPS
[00:43:05] 快到400去吗
[00:43:06] 你知道我那时候看到
[00:43:08] 就是海外的
[00:43:08] 某一家
[00:43:09] 沿调的朋友
[00:43:10] 给我看他们的data
[00:43:11] 然后讲说
[00:43:12] 最好的状况
[00:43:13] 什么出到
[00:43:14] 6到8 million科
[00:43:15] 可以到这个EPS
[00:43:16] 我直接想说
[00:43:17] 这会不会太乐观
[00:43:18] 可是
[00:43:18] 现在有些券商报告
[00:43:19] 就都直接赶这样子写了
[00:43:21] 那一般来讲
[00:43:22] 券商报告写的东西
[00:43:23] 跟最后面市场的谣言比起来
[00:43:25] 券商报告是
[00:43:26] 相对会比较保守一点
[00:43:27] 所以
[00:43:28] 不晓得
[00:43:29] 因为我觉得发哥
[00:43:29] 真的在过去一阵子
[00:43:30] 是已经涨了很多了
[00:43:32] 那只是
[00:43:32] 我必须得说
[00:43:33] 就是我们本来在心目中
[00:43:34] 觉得是很夸张的剧本
[00:43:35] 就竟然有券商报告
[00:43:37] 敢把它写出来
[00:43:38] 所以呢
[00:43:39] 甚至可能可以代表说
[00:43:40] 我们的想象力
[00:43:40] 还不够丰富
[00:43:41] 搞不好可以更丰富之类的
[00:43:42] 那这就是看
[00:43:43] 后面的一些发展
[00:43:45] 所以确实就是从
[00:43:46] 可能本来
[00:43:46] 手机的一个论述
[00:43:48] 转成AI之后
[00:43:49] 市场非常的买单
[00:43:50] 大家完全忘记
[00:43:50] 手机那块
[00:43:51] 不屌了
[00:43:52] 反正完全去看AI
[00:43:53] 也会注意到
[00:43:53] AI可能在后面的
[00:43:54] 贡献算还蛮不错
[00:43:55] 那我必须得说
[00:43:56] 我自己心中抓的数字
[00:43:57] 大概是
[00:43:58] 我稍微看一下
[00:43:58] 市场新公布的
[00:44:00] 报告 consensus
[00:44:01] 我大概打个
[00:44:02] 可能不知道
[00:44:02] 八折之类的吧
[00:44:03] 我觉得那是有机会
[00:44:04] 可以到啦
[00:44:05] 但对
[00:44:05] 现在大家是很乐观
[00:44:07] 我觉得是偏乐观
[00:44:08] 那你说这样子
[00:44:09] 公司的说法
[00:44:10] 不会是不合一气
[00:44:10] 还好
[00:44:11] 因为是在公司讲完之后
[00:44:12] 他们才跑去做upgrade
[00:44:14] 所以应该只要担心的是
[00:44:15] 会不会前面一些人
[00:44:16] 已经先买好的
[00:44:17] 然后趁这个地方
[00:44:18] 丢一泼子
[00:44:18] 但你要知道
[00:44:19] 这个就是泼断里面
[00:44:20] 必然会发生的一些
[00:44:21] 起起伏伏
[00:44:22] 下面一位
[00:44:23] 三重加酒足
[00:44:25] 爱心
[00:44:26] 喷水喷水
[00:44:27] 爱心脸
[00:44:28] 茄子
[00:44:29] 六星U职节目推推
[00:44:31] 欸
[00:44:31] 梦仔
[00:44:32] 前几次你说去球场
[00:44:34] 有人在拍你乱看
[00:44:35] 是不是可以戴个墨镜
[00:44:36] 要直男去球场
[00:44:37] 不能够看啦啦队
[00:44:38] 真的太严格了
[00:44:39] 那另外
[00:44:40] 现在没有什么人
[00:44:41] 在聊机器人
[00:44:41] 但浩琴也认为
[00:44:42] 可以换皮肤的
[00:44:44] 女性机器人
[00:44:44] 会在2035年
[00:44:46] 有望看到吗
[00:44:47] 那梦仔会买一只
[00:44:48] 回去玩吗
[00:44:48] 那最后我女友的
[00:44:49] 美甲工作室
[00:44:50] 空间
[00:44:51] 城镇美甲
[00:44:52] 施来足
[00:44:52] 包可在那边针道
[00:44:53] 地点是新北板桥
[00:44:55] 新普站
[00:44:55] 走路两分钟就到了
[00:44:56] 睡帐号是
[00:44:57] coolcats.many
[00:44:59] 那谢谢梦仔
[00:45:00] 祝你们全家
[00:45:01] 身体健康平安
[00:45:03] 应该是没有办法
[00:45:04] 买一只回家玩啦
[00:45:05] 那个会被制裁啦
[00:45:06] 我觉得我可能最多
[00:45:07] 就是去稍微看一下吧
[00:45:08] 那这个东西
[00:45:09] 我觉得也不会变成是主流啦
[00:45:10] 就像是有飞机杯之后
[00:45:12] 你说人家就不会用手靠枪吗
[00:45:13] 就还是会啦
[00:45:14] 只是可能就是有一个新的选项嘛
[00:45:16] 那一样
[00:45:17] 很多人会说什么
[00:45:18] 有人形机器人之后
[00:45:19] 大家就没有教女友的一个需求
[00:45:20] 我反而觉得不是
[00:45:21] 讲反的是
[00:45:22] 那些教不到女友的
[00:45:23] 会去搞这些人形机器人
[00:45:25] 你教到真人的
[00:45:25] 你干嘛还要去玩机器人
[00:45:27] 没有
[00:45:27] 我自己讲这个
[00:45:28] 我都开始在怀疑我自己
[00:45:29] 因为可能机器人不会抱怨
[00:45:30] 不会有的没有的
[00:45:31] 不会问说晚上要吃什么
[00:45:32] 不会
[00:45:32] 讲说你袜子乱丢
[00:45:34] 不会说什么
[00:45:35] 你怎么没有在打扫
[00:45:36] 对
[00:45:36] 对
[00:45:36] 所以有些人可能选极简
[00:45:37] 那我意思说
[00:45:38] 它都是一个选项
[00:45:39] 类似我们比较不喜欢去捧A踩B
[00:45:42] 或者说谁取代谁一样
[00:45:43] 反正就是多一个选项
[00:45:45] 那我们的人类的生活
[00:45:46] 其实越来越富足的
[00:45:47] 你知道
[00:45:47] 各式各样的人都可以找到它
[00:45:49] 适合落脚的地方
[00:45:50] 那下面一位
[00:45:52] 眼前的黑
[00:45:53] 不是黑
[00:45:54] 你说的白是茉莉奶
[00:45:56] 没事来听您唱歌的
[00:45:58] 看到留言区有同好
[00:45:59] 但没有掌握到留言密码
[00:46:01] 帮留一下
[00:46:01] 延烧店的烟味弥漫
[00:46:04] 戈壁是过树罐
[00:46:05] 为什么都是四声
[00:46:06] 不是吧
[00:46:07] 这个你可能要等周杰伦
[00:46:09] 开Podcast的时候
[00:46:10] 还是下次他演唱会
[00:46:11] 那个麦克风
[00:46:12] 递到你手上的时候
[00:46:12] 你就问他
[00:46:13] 确实
[00:46:13] 为什么会都是四声的
[00:46:15] 他那个延烧店的
[00:46:16] 厌烧店的厌恶密漫
[00:46:18] 戈壁是过树罐
[00:46:20] 店里的妈妈唱
[00:46:21] 插到有三段
[00:46:23] 为什么段要放在下个段
[00:46:25] 不知道
[00:46:25] 下面说不谢兄弟
[00:46:27] 下面一位
[00:46:27] 博勋你最帅
[00:46:29] MK我偶像
[00:46:30] 这个是Post-it粉丝吧
[00:46:31] Seasons change
[00:46:32] I love when cold
[00:46:34] Feed the flame
[00:46:36] cause we can't let go
[00:46:37] 不知道
[00:46:38] 歌词太长
[00:46:38] 我自己会念到尴尬
[00:46:39] 还发出
[00:46:40] 不知道为什么
[00:46:40] 每个人都跑来留歌词
[00:46:41] 我其实我不太爱唱歌
[00:46:43] 那
[00:46:44] 这个
[00:46:44] 跑来留歌词
[00:46:45] 我怕伤害到大家的耳朵
[00:46:47] 他说
[00:46:48] 想请梦工唱一段Post-it
[00:46:49] 那祝最帅的博勋
[00:46:50] 午夜三号生日快乐
[00:46:51] 因为爱你
[00:46:51] 我们爱博勋
[00:46:52] 下面一位
[00:46:52] 第一次留言测试
[00:46:54] 股票指挥涨不会跌
[00:46:55] 没错
[00:46:56] 跟我最近的想法一样
[00:46:57] 真的指挥涨不会跌
[00:46:57] 梦工
[00:46:58] 想问问某男们口中的破译
[00:47:01] 是看总资产还是净资产
[00:47:02] 那另外在Feds上面看到
