[00:00:00] 欢迎收听古爱,我是盛梦公,本期节目由NordVPN赞助
[00:34:02] 想问梦哥
[00:34:03] 我们有没有遇到被人掐住脖子
[00:34:05] 却无能为力的时刻
[00:34:07] 以及遇到这种状况会怎么处理
[00:34:08] 最后希望用川普的声音说
[00:34:10] 恭喜展爷成为红鸡老
[00:34:13] 谢谢MK
[00:34:13] 祝你们一家健康快乐
[00:34:15] 这个没有办法用川普的声音
[00:34:17] 你说我们有遇到那种
[00:34:18] 像是那种刀组上的鱼肉之类的
[00:34:21] 有啊
[00:34:21] 我不是跟大家分享
[00:34:22] 那时候我们在复兴航空下面
[00:34:24] 威航在做训练的时候
[00:34:26] 然后后来
[00:34:27] 反正就是因为复兴航空摔两架飞机
[00:34:28] 那他就是要找个理由
[00:34:30] 把大家给lay off掉
[00:34:31] 可是他又不想要去付资钱费
[00:34:33] 他就要逼我们去签资源离职
[00:34:34] 那当时就是跑到我们的训练基地
[00:34:36] 就找各种理由来干我们
[00:34:38] 就是把我们凑干一顿
[00:34:39] 然后讲了像说我们废物中的废物
[00:34:41] 我们很怠惰啊
[00:34:42] 什么有的没有的
[00:34:43] 所以他就是
[00:34:43] 要我们自己签资源离职
[00:34:45] 不然以后呢
[00:34:45] 就是在业界去走跳的话
[00:34:47] 自己就小心一点什么的
[00:34:48] 那其实到现在我都觉得那个机长
[00:34:50] 就是有时候你也想说
[00:34:51] 这世界上到底有没有报应的存在
[00:34:53] 就这个人为什么
[00:34:53] 现在还可以在那边当机长之类的
[00:34:55] 就是你想要这种事情
[00:34:56] 那会很生气啊
[00:34:57] 那当下其实我们是没有任何的管道
[00:35:00] 去做处理的人
[00:35:00] 简单讲就是妈死老百姓啊
[00:35:02] 那现在也是死老百姓啊
[00:35:04] 可是就是有点钱之后
[00:35:05] 你就可以做很多事情
[00:35:06] 所以如果现在他在给我遇到这种事情
[00:35:07] 我一定会去修理那个机长
[00:35:08] 我一定会找尽方法去修理这个人
[00:35:11] 那只是回到过去
[00:35:12] 你比较年轻
[00:35:13] 或者说你没有方法说
[00:35:14] 老实讲就是忍耐啦
[00:35:15] 那你只能够希望说
[00:35:17] 以后你要路见不平
[00:35:18] 把道相助
[00:35:18] 当你知道有这样子的状况产生
[00:35:20] 发生在你的身边的朋友跟家人
[00:35:22] 或甚至是你的小孩身上
[00:35:23] 你就去修理那个人就对了
[00:35:25] 就是他修理你的小孩
[00:35:26] 你就修理他
[00:35:27] 反正这种人就是一定要被人家处理
[00:35:29] 这也是为什么
[00:35:29] 以前在路上
[00:35:30] 有时候过马路的时候
[00:35:31] 我会很生气
[00:35:31] 因为你知道你他妈的
[00:35:33] 你不小心碰到我装我的算
[00:35:34] 如果你今天装到所有小孩
[00:35:35] 我一定是跟你拼命啊
[00:35:37] 所以你看到一些这种违反规矩
[00:35:39] 或做很奇怪的事情的人
[00:35:41] 其实那个心中
[00:35:42] 真的会有一种那种火上来
[00:35:44] 那当然你已经有一点资源之后
[00:35:47] 你就可以去花时间去对付这些人
[00:35:49] 你有时候很尴尬的点是
[00:35:51] 年轻的时候你没有资源吗
[00:35:52] 你也没有时间
[00:35:53] 所以就算你真的拿出一点钱
[00:35:55] 好我来跟你对拼
[00:35:56] 我去告你或什么的
[00:35:57] 你也没有时间去上法院吗
[00:35:59] 那人家就是比你有愉悦
[00:36:00] 所以当遇到这种事情的时候
[00:36:02] 你会内心有一把火
[00:36:04] 就在那边烧
[00:36:05] 可是你也没有办法做什么
[00:36:06] 那我只能够说这个是
[00:36:07] 老天给你一种修炼啊
[00:36:09] 就是你也不要说什么
[00:36:10] 真的去动手扁人家或什么的
[00:36:12] 这绝对不是好事情啊
[00:36:13] 就有时候你就会遇到这样的事情
[00:36:15] 应该说人生中一定会遇到这样的事情
[00:36:17] 那他最终会变成某一种能量
[00:36:19] 真的是有点像是说
[00:36:20] 化悲愤为力量
[00:36:22] 就是他会变成某一种
[00:36:23] 去督促你继续往前的东西
[00:36:25] 那也只有在
[00:36:26] 像现在可能跟大家聊到
[00:36:27] 我会提到这个往事
[00:36:28] 那大家可能听得出来
[00:36:29] 我真的是很火大之类
[00:36:31] 可是我平常我也不会去想了啦
[00:36:32] 你也不会想跟众人计较了嘛
[00:36:34] 因为你们的层次已经差太多了
[00:36:35] 所以这些人某个程度上
[00:36:37] 他是你生命中的一种刺
[00:36:39] 可是他某个程度上
[00:36:40] 也是推了你一把
[00:36:41] 那除非不好
[00:36:42] 就是今天在人烟罕志的身上
[00:36:44] 他刚好挂在悬崖一边
[00:36:46] 老子一定不救他
[00:36:46] 我一定是不会救你啦
[00:36:48] 那我就是看你该怎么办
[00:36:49] 那可是除此之外
[00:36:50] 你说我也想要去害他吗
[00:36:51] 想要去处理他
[00:36:52] 我是想要去抗争对抗
[00:36:54] 或者去把当时的东西
[00:36:56] 拨乱反正或什么
[00:36:57] 不会啦
[00:36:57] 就算了吧
[00:36:58] 就人生一定会遇到
[00:36:59] 很多这样的事情
[00:36:59] 所以我的最高指导原则
[00:37:01] 就是能够不去接触人
[00:37:02] 就尽量不要接触人
[00:37:03] 因为接触人
[00:37:04] 很多时候都会让自己
[00:37:05] 非常的失望
[00:37:05] 大概这样
[00:37:06] 下面一位
[00:37:06] 五棍阿皮婆百烂
[00:37:08] 简称五百
[00:37:09] 梦公你说你爱了不该爱的人
[00:37:13] 你的心中满是伤痕
[00:37:15] 记得你说过
[00:37:16] 行情好的时候
[00:37:17] 会有群怪小人
[00:37:18] 跑出来问豆色问题
[00:37:19] 那想问行情不好留言区
[00:37:20] 会出现什么样的现象
[00:37:21] 也是怪小
[00:37:22] 反正行情只要走到极端
[00:37:23] 就很多怪卡会跑出来
[00:37:24] 那另外想问一个
[00:37:26] 清酒你说不知道喝什么
[00:37:27] 我就推荐喝十四代
[00:37:28] 那除了十四代之外
[00:37:29] 有什么另外推荐的吗
[00:37:30] 那感谢祝您及各位听众
[00:37:32] 都能够身体健康平衡
[00:37:33] 我没有这样子讲过啦
[00:37:34] 只有说十四代
[00:37:35] 它本身确实是一个
[00:37:36] 怎么讲
[00:37:37] 你可以用金银剔透
[00:37:38] 来形容这一支
[00:37:39] 它不是这一支红酒
[00:37:41] 就是这个品牌
[00:37:42] 它的酒都做得非常的好
[00:37:44] 那也是属于
[00:37:45] 比较甜美的风味的
[00:37:46] 那只是
[00:37:46] 我那时候会想去研究清酒
[00:37:48] 是因为就是每个人
[00:37:49] 都只会喝十四代
[00:37:50] 我想说是只有十四代吗
[00:37:51] 所以就去多摸了一些
[00:37:52] 那像我自己喜欢的话
[00:37:53] 我蛮喜欢新正
[00:37:54] 我也喜欢额巾
[00:37:55] 那比较平家一点的话
[00:37:56] 像我也很喜欢那个富酒井
[00:37:58] 这有跟大家推荐一个
[00:37:59] 什么富酒井不苦吗
[00:38:00] 那个才九百块
[00:38:01] 那个超级好喝
[00:38:01] 然后后来
[00:38:02] 就是因为我是在一个
[00:38:04] 叫利木的店喝那个
[00:38:05] 然后后来好像就卖到断货了
[00:38:07] 所以我不确定
[00:38:08] 这个东西现在好不好找
[00:38:09] 但反正总之
[00:38:10] 这几个都是蛮不错的牌子
[00:38:12] 下面一位
[00:38:12] 迪化街的台南人
[00:38:14] 最近散热散热的
[00:38:20] 被动不被动的
[00:38:21] 2330也2330的
[00:38:23] 大意我也大意了
[00:38:24] 微软一样微软的
[00:38:25] 滑心让我滑心的
[00:38:26] power总算power的
[00:38:27] 励志让我励志了
[00:38:28] 那最后吸力丢吸力
[00:38:30] 大家有空来迪化街走一走
[00:38:32] 这几年很不一样
[00:38:33] 主要就是什么改变
[00:38:35] 是不是
[00:38:35] 我前几天才
[00:38:36] 不是前几天
[00:38:37] 前几个月才在那边路过
[00:38:38] 确实是一个
[00:38:39] 就是给你那种
[00:38:40] 小时的旧时光
[00:38:42] 1943那种味道
[00:38:44] 但还是有点太拥挤
[00:38:46] 如果没有这么拥挤的话
[00:38:47] 更好
[00:38:47] 前面这些打游试
[00:38:49] 还蛮有趣的
[00:38:50] 下面一位
[00:38:50] 悠悠
[00:38:51] 祝梦工去搞生日快乐
[00:38:52] 非常谢谢悠悠
[00:38:53] 下面一位
[00:38:53] Karina
[00:38:54] 梦工大午安
[00:38:55] 跟你一样是双子宝宝
[00:38:56] 今天做生日香
[00:38:57] 请你用秋口的旺旺声
[00:38:59] 干
[00:39:00] 帮我旺一段
[00:39:01] 祝你生日快乐的旋律
[00:39:03] 这样子我跟肚子里的宝宝
[00:39:04] 都会很开心
[00:39:05] 你看人家肚子里有宝宝
[00:39:07] 为什么我前面要那样子
[00:39:08] 我还是以后少讲一点话好了
[00:39:11] 那我会把他录下来当
[00:39:13] 每日的胎教
[00:39:14] 他要当胎教的东西
[00:39:15] 那希望宝宝出生当天
[00:39:17] 就会忘给自己听
[00:39:18] 结果宝宝学到
[00:39:20] 第一个字就是干
[00:39:21] 那也提早祝梦工生日快乐
[00:39:23] 祝福身体健康
[00:39:25] 祝大家超过超到100岁
[00:39:26] PS昨天推老公入坑
[00:39:28] 不知道今天会不会被念到
[00:39:29] 如果有念到
[00:39:30] 简报跟老公说
[00:39:31] 你看他还推老公入坑
[00:39:32] 结果老公一听就说
[00:39:33] 怎么会有这种玩世不公的家伙
[00:39:35] 你知道我小学二年级
[00:39:36] 我的联络簿老师就写说
[00:39:38] 这个人玩世不公
[00:39:38] 小学二年级就被这样子写
[00:39:40] 不要当风貌仔
[00:39:41] 你最棒了
[00:39:42] 白地方快乐宝吗
[00:39:44] 我前面那个可能
[00:39:45] 我后来发现
[00:39:45] 我这样讲
[00:39:46] 大家不一定知道我在干嘛
[00:39:47] 因为那个是GI救
[00:39:48] 就要跑去跟一只狗狗讲话
[00:39:50] 说想要拿打
[00:39:51] 然后那只狗
[00:39:52] 我刚刚那个是GI救
[00:39:54] 但对
[00:39:54] 现在大家可能
[00:39:55] 已经不知道GI救或什么
[00:39:56] 所以可能只有我觉得好笑
[00:39:57] 然后没有人觉得好笑
[00:39:58] 然后他老公就觉得说
[00:39:59] 你怎么会推荐我
[00:40:00] 来听这么糟糕的人的节目
[00:40:02] 所以为了去
[00:40:03] 弥补这一段
[00:40:04] 我们还是来想一下
[00:40:05] 要怎么样有一个
[00:40:06] 这个胎教的东西
[00:40:07] 可是我真的没有办法
[00:40:08] 去汪说祝你生日快乐
[00:40:09] 其实可以
[00:40:12] 其实可以
[00:40:13] 但Choco不是这个声音
[00:40:14] Choco的声音蛮雄混的
[00:40:15] 那个太难学了
[00:40:15] 没有办法
[00:40:16] 那还是希望你生日快乐
[00:40:17] 那希望这个
[00:40:18] 老公也会喜欢这个节目
[00:40:20] 下面一位
[00:40:20] Mr.Fish
[00:40:21] 梦公之嘎
[00:40:22] 无安潜水许久地
[00:40:23] 是留言
[00:40:24] 想请你帮我跟女友Joey说
[00:40:26] 赶快投履地了
[00:40:27] 不要再修作品集了
[00:40:28] 你很棒
[00:40:29] 大家都说
[00:40:29] Fake it till you make it
[00:40:30] 他都会担心
[00:40:31] 没有符合JD的需求
[00:40:33] 但我都跟他说
[00:40:33] 先投了再说
[00:40:34] 那另外祝梦公全家平安
[00:40:36] 身体健康爱您
[00:40:37] 其实我真的蛮喜欢
[00:40:38] Fake it till you make it
[00:40:39] 但是Fake it till you make it
[00:40:40] 并不是说
[00:40:41] 你去假装成为
[00:40:42] 你自己不是人
[00:40:43] 而是说
[00:40:43] 你就试着从模仿开始
[00:40:45] 反正总之先把自己
[00:40:47] 先稍微地去假想成
[00:40:49] 如果说要去取得这个工作
[00:40:51] 他该会是什么样的样子
[00:40:52] 然后接着你就不要想太多
[00:40:53] 因为我曾经在网上
[00:40:54] 看到一个说法
[00:40:55] 我觉得蛮有趣的
[00:40:56] 我觉得说
[00:40:56] 你今天有办法被邀请到
[00:40:58] 一个会议室去做面试的话
[00:41:00] 其实你已经是
[00:41:01] 相对来说
[00:41:02] 击败非常多人了
[00:41:03] 你才有办法坐在那边
[00:41:04] 所以当人家来问你意见的时候
[00:41:05] 你就不要害怕
[00:41:06] 就勇敢地回答
[00:41:07] 因为你光是可以坐在这边
[00:41:08] 你就已经是被选到
[00:41:09] 你光是有资格去投的话
[00:41:10] 你可能就已经是
[00:41:11] 跟别人拉出一段差距
[00:41:12] 所以不要想太多
[00:41:13] 有时候你精心准备的东西
[00:41:14] 大家不一定会喜欢
[00:41:15] 但是有些节目
[00:41:16] 我自己是觉得说
[00:41:17] 可能这一集
[00:41:18] 我真的是偶心立写之作
[00:41:20] 非常多的研究
[00:41:21] 非常多的东西
[00:41:21] 都注入进来
[00:41:22] 就大家最喜欢
[00:41:23] 我后面可能学狗教的部分
[00:41:24] 所以会有这样子的情形发生
[00:41:26] 你无法去想象的一些状况
[00:41:28] 都是有机会会产生的
[00:41:30] 然后再来就是
[00:41:31] 你可能也不一定会遇到
[00:41:33] 能够去欣赏你的人
[00:41:34] 或是说
[00:41:34] 你可能在最没有预期的地方
[00:41:37] 遇到一个超级欣赏你的人
[00:41:38] 所以真的不要想太多
[00:41:39] 反正我觉得生命就是
[00:41:41] 你只要尽力过后之后
[00:41:42] 就可以了
[00:41:43] 就是相信好事都会发生
[00:41:44] 大家讲
[00:41:44] 下面一位陈薇薇薇
[00:41:46] 梦工老哥
[00:41:47] 最近把老板开除了
[00:41:49] 正在跑步机上
[00:41:50] 看着股票市场的获利
[00:41:51] 想到今天刚好礼拜三
[00:41:52] 来留言看看
[00:41:53] 谢谢梦工老哥
[00:41:55] 无私分享股票资讯
[00:41:56] 给大家参考
[00:41:56] 感谢爱宁
[00:41:57] 什么时候会来台中办
[00:41:58] 粉丝见面会
[00:41:58] 看到大家能够在林口
[00:42:00] 跟金城武合照
[00:42:00] 有点羡慕
[00:42:01] 那希望你可以在台中偶遇
[00:42:03] 帮凭我的大头贴的猫
[00:42:04] 可爱吗
[00:42:05] 一到十分注意一下
[00:42:06] 平安
[00:42:06] 感谢爱宁
[00:42:07] 九分吧
[00:42:10] 那个领机蛮可爱的
[00:42:12] 可是长得有点像AI的照片
[00:42:13] 然后这是一只好猫
[00:42:15] 虎斑猫
[00:42:15] 那台中的话
[00:42:16] 对
[00:42:17] 偶尔会去一下
[00:42:17] 因为我姐姐住在台中
[00:42:18] 所以我是每次
[00:42:19] 可能她会去经过一下
[00:42:20] 都有遇到地方听众
[00:42:21] 下面一位
[00:42:25] 优质好节目
[00:42:25] 最近养一只小狗才觉得
[00:42:27] 不是狗陪我们
[00:42:28] 是我们也要陪狗内
[00:42:29] 所以想问孟公出国玩的时候
[00:42:31] 会想念秋口吗
[00:42:32] 六狗会遇到
[00:42:33] 录影怪人有够气
[00:42:34] 那然后孟公可以帮我
[00:42:36] 说服一下我老公
[00:42:36] 医美不是坏东西
[00:42:37] 请让我花吗
[00:42:38] 保养品化妆品
[00:42:40] 头发都可以的
[00:42:41] 好男人在全面有点
[00:42:43] 那最后拜托再安抚一下
[00:42:45] 所得税50万赌篮的我
[00:42:47] 我知道人外有人
[00:42:48] 但还是觉得很靠杯
[00:42:49] 真的没念到这次的留言的话
[00:42:51] 我回家就约老公朽干
[00:42:52] 老公今天晚上有福了
[00:42:53] 那再来对
[00:42:55] 医美真的不是坏东西
[00:42:55] 特别是像
[00:42:56] 我之前有去做军旗的医美
[00:42:59] 那我的感受是
[00:43:00] 我觉得这些女生伟大
[00:43:01] 她为了把自己弄得
[00:43:03] 可能更加的亮眼或什么
[00:43:04] 她是真的要去忍受一些痛
[00:43:06] 因为你叫我再去做的话
[00:43:07] 后来我自己是发现说
[00:43:08] 像凤凰跟音波
[00:43:09] 效果真的蛮好
[00:43:10] 所以你叫我每年去
[00:43:11] 可能是可以
[00:43:11] 但我的动机
[00:43:13] 就比较少一点
[00:43:14] 就会觉得说
[00:43:15] 为什么我要去挨痛
[00:43:16] 那我就看不到自己的脸
[00:43:17] 然后查
[00:43:17] 类似这样
[00:43:18] 所以女生为了你
[00:43:19] 或者说为了
[00:43:20] 不知道常常有的没有东西
[00:43:21] 也可能是为了自己
[00:43:22] 但她去把自己弄得
[00:43:24] 更加的好看
[00:43:25] 那个是要承受东西的
[00:43:26] 所以你就可以想想成说
[00:43:28] 老婆打理自己
[00:43:29] 让你可能每天看到
[00:43:30] 你心情也变好
[00:43:31] 那你帮她多花一点钱
[00:43:32] 小事情
[00:43:33] 那再想说
[00:43:34] 对没错
[00:43:35] 就是不只是在遛狗
[00:43:37] 其实是遛自己
[00:43:37] 我觉得你就把
[00:43:38] 心态转换成为说
[00:43:40] 有了狗之后
[00:43:40] 你会更加的去外面走动
[00:43:41] 对身体也是比较好一点
[00:43:43] 那露营怪人的话
[00:43:44] 对最近蛮多的
[00:43:45] 那特别是
[00:43:46] 有很多那种地方社团
[00:43:47] 像我们就有什么
[00:43:47] 林口大小事
[00:43:48] 那里面超多怪人
[00:43:50] 就是世界上最怪的人
[00:43:51] 都在地方社团
[00:43:52] 什么天母的
[00:43:53] 什么大小事
[00:43:54] 林口大小在什么小
[00:43:55] 反正那种各地地方社团
[00:43:57] 一堆怪小都会在上面
[00:43:58] 那当然他们也会讲说
[00:43:59] 你不要做坏事
[00:44:00] 就不会拍你
[00:44:01] 可是其实有时没事
[00:44:02] 他们也是怎样
[00:44:02] 在拍别人
[00:44:03] 所以我觉得不是什么好事情
[00:44:05] 就是如果你在路上
[00:44:06] 真的看到一些
[00:44:06] 不喜欢的东西
[00:44:07] 你理论上是要直接跟人家讲
[00:44:08] 而不是贴要往上攻神
[00:44:09] 但这就是现在
[00:44:10] 社会的一种文化吧
[00:44:12] 蛮多怪卡
[00:44:13] 下面一位
[00:44:13] 困饱找谢梦工
[00:44:15] 主动全国赢大盘
[00:44:16] 但是跟0050正二比就输了
[00:44:18] 我没有开杠杆
[00:44:19] 但是看到无脑买正二赚比较多
[00:44:20] 也会怀疑是否自己不要努力
[00:44:22] 虽然知道正二盘整持有
[00:44:23] 长期会自损
[00:44:24] 那如果调整一半
[00:44:25] 加入正二的
[00:44:26] 我算不算是半放弃
[00:44:27] 不算
[00:44:28] 就如果你真的觉得这个商品
[00:44:29] 它某个程度上适合你的话
[00:44:30] 当然都可以去试看看
[00:44:31] 那只是绝大多数的人
[00:44:32] 都是在多投资
[00:44:33] 看到人家的好
[00:44:34] 然后在空投之后
[00:44:35] 大家就完全忘记一些
[00:44:36] 有的没有的东西
[00:44:36] 大家知道
[00:44:37] 下面一位
[00:44:37] KT Ho
[00:44:38] 是怎样
[00:44:39] 剑湖山连三跟G5
[00:44:41] 真的要改成火箭发射的战吗
[00:44:43] 那6月3号是千尼友的生日
[00:44:44] 请梦工去卡
[00:44:45] 不用祝他生日快乐
[00:44:46] 我只是刚好想起这件事情
[00:44:48] 那这一套是念出来
[00:44:48] 应该蛮好笑的
[00:44:49] 不好笑
[00:44:49] 那过了40
[00:44:51] 很少有机会可以疯狂大笑
[00:44:52] 会有这种小趣味
[00:44:53] 就是很棒的一天
[00:44:54] 祝梦工天天都有小趣味
[00:44:56] 不好笑
[00:44:57] 下面一位
[00:44:57] PJ
[00:44:58] 五星奉上留言测试XLIV
[00:45:01] 那请问MK
[00:45:02] 关于持股的再平衡
[00:45:03] 那像我这种小散户
[00:45:05] 应该比较容易遇到
[00:45:06] 过好吗
[00:45:06] 我有两档持股
[00:45:07] 最近的表现都蛮不错
[00:45:08] 分别达到
[00:45:09] 持股总额的24%跟18%
[00:45:11] 我想要等等李嘉诚的Zoom
[00:45:13] 那应该就会被您拿出来举例了
[00:45:15] 那想问的是
[00:45:16] 如果要做再平衡
[00:45:17] 时间点是否应该看
[00:45:18] 占比动态调整
[00:45:19] 还是有周期性的
[00:45:20] 比如说每季或是半年
[00:45:22] 那遇到这种好行情
[00:45:23] 你有什么操作上的建议
[00:45:24] 或是该注意的
[00:45:25] 感恩爱您
[00:45:26] 一般来讲
[00:45:27] 会去做再平衡
[00:45:28] 就是你不会没事
[00:45:29] 想要去把一个
[00:45:30] 长得好好的东西剪掉
[00:45:31] 可是觉得说
[00:45:31] 我今天就有东西要买
[00:45:32] 好像SpaceX要上了
[00:45:34] 你可能要去参加申购
[00:45:35] 或是说你想要在
[00:45:36] 他跑到二级市场的时候去买
[00:45:37] 你就没有钱嘛
[00:45:38] 那怎么办
[00:45:39] 你就只好去把一些东西的
[00:45:40] 部位给压低
[00:45:42] 然后你就有钱去买SpaceX
[00:45:43] 假设你知道这样子做
[00:45:44] 所以一般就是
[00:45:45] 你有东西要买的话
[00:45:46] 你就只好这样子去做提款
[00:45:47] 如果是其他的时间点的话
[00:45:50] 其实不一定会有事
[00:45:51] 没事去做这样子的调整
[00:45:52] 除非就是
[00:45:53] 你可能知道
[00:45:53] 它涨多的东西
[00:45:54] 你真的认为它涨多
[00:45:55] 你真的觉得市场在FOMO
[00:45:57] 或什么的
[00:45:57] 那你减码去买一些
[00:45:58] 现在刚好掉下来的东西
[00:45:59] 这样也是可以
[00:46:00] 但一般都会有一个目的性
[00:46:01] 而不是有事没事
[00:46:02] 就直接去乱杀他这样子
[00:46:03] 下面一位张正伟
[00:46:05] 梦工前辈您好
[00:46:06] 请问杜阿丽帕结婚
[00:46:08] 你会难过吗
[00:46:09] 不会
[00:46:10] 我们祝福他
[00:46:11] 下面一位
[00:46:11] 翔潜留言测试
[00:46:13] 鸡色氧击中
[00:46:14] 下面一位
[00:46:14] 嘿嘿嘿
[00:46:15] 梦工你好
[00:46:16] 我最近又电子氧尾了
[00:46:17] 可以推荐一些游戏吗
[00:46:18] 过后红眼露比玩过了
[00:46:19] 赞
[00:46:19] 那就继续玩红眼露比
[00:46:20] 那再来呢
[00:46:21] 就是可能约莫在明后年
[00:46:24] 我们还会有一个
[00:46:24] 这个暗花夜战
[00:46:25] 也请大家再支持一下
[00:46:27] 那还有什么其他游戏
[00:46:28] 我不是跟大家讲说
[00:46:29] 我觉得尼基还蛮不错的
[00:46:30] 或者说棕色诚海二
[00:46:31] 也还可以
[00:46:32] 但尼基的整个故事性
[00:46:33] 跟角色的塑造
[00:46:35] 我是最喜欢的
[00:46:36] 所以就玩一下手游
[00:46:37] 后来发现手游
[00:46:38] 这样的美日任务
[00:46:39] 对我们来说也是蛮不错
[00:46:40] 就仪式感
[00:46:40] 以前会觉得说
[00:46:41] 手游的美日任务
[00:46:42] 好像是怎样
[00:46:43] 蛮很有作业感
[00:46:44] 可是现在反而是变成是仪式感
[00:46:46] 每天可以解一下
[00:46:46] 手游任务再来蛮高兴的
[00:46:48] 那不然回去打
[00:46:49] 那个low的大乱斗
[00:46:50] 那我也蛮喜欢的
[00:46:51] 只是最近因为要念故事
[00:46:52] 给孩子听
[00:46:53] 很多时候我就睡着
[00:46:53] 晚上没有办法跟朋友打
[00:46:54] 下面一位
[00:46:55] 连工地的阿伯都在聊股票
[00:46:57] 孟公奇卡你好
[00:46:58] 之前分享过
[00:46:59] 因为你的获利拉开
[00:47:00] 所以最近的大盘几次回档
[00:47:01] 都不调整部位
[00:47:02] 甚至是站在加码方
[00:47:03] 那但是这样会有
[00:47:04] 人来的效应吗
[00:47:05] 因此想请问孟公大
[00:47:06] 您在接下来的大盘
[00:47:07] 以及个股分别
[00:47:08] 看到什么讯号
[00:47:08] 会降杠以及减码呢
[00:47:09] 那谢谢您的回复
[00:47:11] 祝福您持续变寿
[00:47:12] 全家平安
[00:47:13] 以最近的状况来讲
[00:47:15] 反正就大家都知道
[00:47:16] 说我手上就是一大堆
[00:47:17] CPU跟被动连接
[00:47:19] 那当然他们可能
[00:47:23] 当然有些还是持续的
[00:47:25] 站在右上角
[00:47:25] 那我的角度是这样子
[00:47:27] 就基本上
[00:47:27] 他现在回档
[00:47:28] 你看他连十字线都没有破
[00:47:30] 他连十字线都没有破的话
[00:47:31] 那为什么要出去
[00:47:32] 那甚至以我的成本来讲
[00:47:33] 我会想要凹到月线看看
[00:47:34] 因为有些大波段的东西
[00:47:36] 他可能最终都会踩到月线
[00:47:38] 然后再继续往上
[00:47:39] 所以那跟成本的位置
[00:47:40] 其实是有一定程度的关联在
[00:47:42] 讲讲就是这一波
[00:47:43] 真的拉得太凶太猛
[00:47:44] 所以才不会有太多积极的调整
[00:47:45] 那不然按照过往
[00:47:47] 一般来讲
[00:47:47] 就是当大盘出一个长AK
[00:47:48] 你就会去做一些调整
[00:47:50] 那只是现在呢
[00:47:51] 大盘如果出长AK
[00:47:51] 我不会调整
[00:47:52] 但你说碰到月线
[00:47:54] 然后接着可能几天之内
[00:47:55] 没有站过去
[00:47:56] 那应该还是会去做一些减
[00:47:57] 所以可能会往这个方向去
[00:47:59] 做规划大概这样
[00:48:00] 下面一位
[00:48:01] 刘桓君吗
[00:48:03] 还是刘恒君
[00:48:03] 梦公你好
[00:48:04] 我是从去年开始收听的
[00:48:06] 一个大三生
[00:48:06] 然后想问梦公
[00:48:07] 未来载版的需求看好
[00:48:09] 包括玻璃载版
[00:48:10] 那是代表赚孔
[00:48:11] 或是赚真类的股票
[00:48:13] 在未来应该会再喷一波吧
[00:48:14] 请示梦公大
[00:48:15] 然后小弟
[00:48:15] 我住巴黎很常上林口
[00:48:17] 希望某天可以遇到梦公一家
[00:48:18] 我记得大概在
[00:48:20] 可能两三个月前
[00:48:21] 我们就有聊到TGV跟TSV
[00:48:23] 还有布里载版
[00:48:23] 布里基本
[00:48:24] 那时候在讲说
[00:48:24] 英特尔的E-MIP
[00:48:25] 所以全部都聊过了
[00:48:27] 然后后来
[00:48:27] 一些相关的类鼓也喷射
[00:48:29] 那我还有一个印象很深刻
[00:48:30] 就是反正那时候喷射
[00:48:32] 然后出现了回档
[00:48:33] 就有几个账号就跑出来
[00:48:35] 很多时候在讲说
[00:48:35] 这些账号的背后
[00:48:37] 一定都是社会的人渣
[00:48:38] 就是一定是社会边角料
[00:48:40] 就是你那边大涨都不讲
[00:48:42] 然后开始回档就说
[00:48:43] 哈哈哈哈
[00:48:44] 他古来又在割韭菜
[00:48:45] 每次都这样割韭菜
[00:48:46] 然后后来喷爆
[00:48:48] 然后这些账号就不见了
[00:48:49] 每次都这样
[00:48:49] 就几个免洗账号跑出来
[00:48:50] 哈哈哈哈
[00:48:51] 你永远都哈哈哈哈
[00:48:52] 钱永远都是我们在赚
[00:48:53] 这个社会的妈的废物
[00:48:55] 真的是有够多的
[00:48:55] 大概这样
[00:48:56] 反正总之就是聊过了
[00:48:56] 然后下面一位
[00:48:57] Jimmy Huang
[00:48:58] 嗨我来忏悔
[00:48:59] 我就是眼以待人
[00:49:01] 宽以律己的废物
[00:49:02] 以后会避免跟任何人来往
[00:49:04] 但有时候还是会想要色色
[00:49:05] 那帮我祝福Chuck
[00:49:06] 一家跟Irene
[00:49:07] 身体健康爆干油钱
[00:49:09] 这个跑来这边忏悔
[00:49:11] 一直讲
[00:49:11] 下面一位Lizzi Chang
[00:49:12] 上次留言没有被念到
[00:49:13] 再记再历
[00:49:14] 我是跟单载
[00:49:15] 每次听节目都会觉得
[00:49:16] 这是可以免费听的吗
[00:49:17] 最近美股持股
[00:49:17] 喷到像是觉得
[00:49:19] 需要捐钱的第一步
[00:49:20] 虽然没有赚得像各位的台股一样
[00:49:22] 孟公要不要搞个基金会
[00:49:23] 我相信各方心中
[00:49:24] 一定会捐爆
[00:49:25] 那最后祝孟公一直
[00:49:26] 像现在这样
[00:49:27] 快乐轰眼露鼻卖爆
[00:49:28] 非常感谢这位
[00:49:29] 地方妹妹的祝福
[00:49:30] 那你说会不会去搞一个基金会
[00:49:31] 绝对不会
[00:49:32] 就我不会去搞任何一个东西
[00:49:34] 然后说会跟不特定多数人
[00:49:36] 去做接触的
[00:49:36] 因为我是一个非常怕麻烦
[00:49:39] 然后在外加不欠这一条的
[00:49:41] 所以你看我们没有对听众收费
[00:49:42] 那搞游戏资本的时候
[00:49:43] 有人问说
[00:49:44] 是不是要群目
