[00:00:00] 欢迎收听古爱,我是顺目公,本期节目由知识卫星,企业财税必休克
[00:34:51] 那在身边的房仲朋友都有讲说
[00:34:53] 我现在是还蛮辛苦的
[00:34:55] 我觉得这个可能会持续到
[00:34:56] 我在想股票稍微都要告一段落
[00:34:58] 不然大家的想法就是
[00:35:00] 我有钱我都缩他股票
[00:35:01] 这是第一个
[00:35:02] 然后再来就是
[00:35:03] 其实在资金的控管方面
[00:35:05] 因为现在我们都知道说
[00:35:06] 你要去搞房贷的话
[00:35:07] 实在蛮辛苦
[00:35:08] 像前阵子
[00:35:09] 因为帮自己的孩子开户
[00:35:11] 那就顺便问一下银行的经理
[00:35:12] 因为他来帮我们开户的时候
[00:35:14] 就会稍微的聊天一下
[00:35:15] 他就有提到说
[00:35:17] 像虾的房贷是一个蛮畸形且蛮诡异的状态
[00:35:21] 如果说你要跟
[00:35:23] 当然我们就不讲哪一家银行
[00:35:24] 你要跟他们借钱的话
[00:35:25] 你帐上没有1000万现金
[00:35:27] 也就是你不是VIP的话
[00:35:28] 一般你的房贷是带不下来
[00:35:30] 但是换个角度说
[00:35:31] 如果你今天帐上有1000万人
[00:35:33] 你未必是最需要房贷的人
[00:35:35] 所以很矛盾
[00:35:36] 但没有办法
[00:35:37] 下一个状态就是这样
[00:35:38] 因为可能大家的额度都已经到了
[00:35:40] 外加可能政府之间的收容
[00:35:42] 会导致一些后续的影响
[00:35:43] 所以可能要等到
[00:35:44] 我猜就等政府再大放水出来
[00:35:47] 整个房市就会再次的启动
[00:35:49] 再讲说买房子要特别注意或准备
[00:35:51] 
[00:35:51] 我们这个节目叫股癌
[00:35:53] 我们是在讲股票的
[00:35:54] 我自己本身对房地产也是没有什么兴趣
[00:35:56] 我也没有再去做更多房地产的一个质产
[00:35:59] 或是采购
[00:36:00] 你可能要去问房迷
[00:36:02] 脸书粉砖房迷去问他
[00:36:04] 如果你正在问我意见的话
[00:36:06] 我会怎么样去看待房地产
[00:36:08] 假如我现在要再去买一个房子
[00:36:10] 我会看什么
[00:36:11] 第一个我一定先去查建商是谁
[00:36:12] 谁盖的一定是很重要
[00:36:14] 更讲究的我会去查说
[00:36:15] 营造是谁
[00:36:17] 是谁实际上进去盖的
[00:36:18] 而不是只有看建商
[00:36:19] 我会大概知道说他们的评价是怎么样
[00:36:22] 有时候你要了解一件事情
[00:36:23] 就是有些建商我们就不去点名谁
[00:36:26] 他们被人家干到爆炸
[00:36:27] 但是为什么他的东西每次出来卖都还是卖光
[00:36:29] 这时候我们会相信说市场的力量
[00:36:31] 大家在那边哈拉一大堆
[00:36:33] 你知道很多人讲说这个车子
[00:36:34] 你闲个半死
[00:36:35] 其实根本没有车子
[00:36:36] 你在骑摩托车
[00:36:37] 我们都知道网络上很多这样子的人
[00:36:38] 建商你闲个半死
[00:36:39] 可是实际上你要买
[00:36:40] 你还买不到了
[00:36:41] 要被抢光
[00:36:42] 因为他可能价格真的特别有竞争力
[00:36:43] 他只要不会漏水
[00:36:44] 不要有一些那种很致命的情形
[00:36:46] 他的价格就可以米平很多他的缺点
[00:36:48] 反之你真的要去买一个
[00:36:50] 所谓的首屈一指的建商
[00:36:52] 人家可能是豪宅建商你也买不起
[00:36:54] 所以你看这个好像意义也不大
[00:36:56] 但总之会稍微的去参考一下
[00:36:58] 一定会看
[00:36:59] 就看一下说是谁盖的
[00:37:00] 再来就是像我自己会比较注重说
[00:37:02] 太阳要可以晒进来
[00:37:04] 我还蛮喜欢太阳要可以晒进来的
[00:37:06] 所以即便是西塞房
[00:37:07] 这个是蛮多人不喜欢的
[00:37:08] 但是我自己住在林口
[00:37:10] 我觉得西塞是很好的事情
[00:37:11] 我觉得晒一塞太阳有着也蛮不错
[00:37:13] 虽然我很讨厌出去晒太阳
[00:37:14] 可是家里可以照得到阳光
[00:37:16] 这个我还蛮介意的
[00:37:18] 我就会觉得说这可能是一个重要的事情
[00:37:20] 那再来的话可能就不知道
[00:37:22] 目前我自己的考量会要以空间为主
[00:37:25] 所以就算这个地点
[00:37:26] 因为以前人家讲什么location
[00:37:28] location
[00:37:29] 然后一定要在什么捷运站隔壁
[00:37:30] 但我自己长大之后才知道说
[00:37:31] 捷运站根本不是一个must
[00:37:33] 对我来讲根本就不是
[00:37:34] 就是对一些可能不知道
[00:37:36] 你有通勤需要的人是
[00:37:37] 可是对我来说不是
[00:37:38] 所以那个地点真的一定要卡在捷运站隔壁
[00:37:41] 我不会觉得说我想要去花那样的一个premium
[00:37:43] 可是如果你今天是一个大坪数的
[00:37:45] 你的价格可能是再高一些
[00:37:48] 单价会低一些
[00:37:49] 但是你的总价是高
[00:37:50] 这个对我来讲就是我需求的东西
[00:37:52] 因为我们家里就是多
[00:37:53] 而且后面可能会再有更多的小孩出来
[00:37:56] 所以不确定
[00:37:57] 但会想要去找
[00:37:58] 你可能是够大的
[00:38:00] 即便你可能地点是
[00:38:01] 在一般人的角度是没有这么好的
[00:38:03] 但是我不在意
[00:38:04] 所以你会注意到说我们看的一些东西
[00:38:06] 这可能是市场上人家说是雷的东西
[00:38:09] 就要说会稀赛的房
[00:38:11] 他不喜欢我喜欢
[00:38:12] 然后再来就是频数太高的东西
[00:38:14] 大家说流动性不好
[00:38:15] 没有
[00:38:16] 我最喜欢这种东西
[00:38:17] 因为反正我也没有要再卖了
[00:38:18] 所以流动性不好
[00:38:19] 我不在意
[00:38:20] 再来可能像有些人会很讨厌顶楼
[00:38:23] 他觉得说顶楼的话
[00:38:24] 可能太阳晒会热
[00:38:26] 冷气费会很高
[00:38:27] 或者说可能会漏水
[00:38:28] 但对我来讲
[00:38:29] 钱可以解决的都不是问题
[00:38:30] 我反而很担心
[00:38:31] 楼上有人在那边整天冲来冲去
[00:38:33] 所以可以买顶楼
[00:38:34] 那我也会买顶楼
[00:38:35] 这也是很多人反对的
[00:38:36] 但我就觉得顶楼好
[00:38:37] 所以这个其实都是蛮见仁见智的
[00:38:39] 你不要花太多时间在网络上看人家哈拉一大堆
[00:38:41] 你要先很明确的知道你要的是什么
[00:38:43] 然后再去找对应的东西
[00:38:45] 这可能是比较好的一个做法
[00:38:47] 听起来像是老生常谈
[00:38:48] 但很多人没有办法
[00:38:49] 他会被洗脑
[00:38:50] 就被大家网络上讨论看多了
[00:38:51] 就洗到说一定要怎么样
[00:38:53] 什么门牌差别
[00:38:54] 隔一条街插什么门牌
[00:38:56] 我有时候想说
[00:38:57] 
[00:38:57] 可能有些人他的资产真的就只有这一间房子
[00:39:00] 所以他们会去纠结一些超怪的东西
[00:39:02] 我不晓得
[00:39:03] 下面有位
[00:39:04] Uncle Shaw
[00:39:05] 在乡都没有老婆用过的郁金香
[00:39:07] 念我念我
[00:39:08] 从月初开始留言都留不到
[00:39:10] 孟公好CD4年来第二次留言
[00:39:12] 那感谢全民老公优质好节目一直以来陪伴
[00:39:16] 最近市场真的是接近疯狂万古齐发轮流喷射
[00:39:19] 但百思不得其解
[00:39:20] 最后那些贵贵的设备跟原料
[00:39:22] 还有某某的营收
[00:39:23] 不是都会在无城市里面发生的吗
[00:39:25] 那怎么都好像遗忘了
[00:39:27] 那最后可以用man哥孟公的声音
[00:39:29] 祝好友高高与黄以宁小朋友
[00:39:32] 五月生日快乐平安健康
[00:39:34] 感恩大爱您
[00:39:35] 我爱您
[00:39:36] 那这位兄弟一看
[00:39:37] 应该就是汉堂的股东
[00:39:39] 因为汉堂的股东应该都很好奇说
[00:39:41] 
[00:39:41] 获利这么好
[00:39:42] 毛利还TIG上来怎么不会涨
[00:39:43] 他不是礼拜五就涨了吗
[00:39:44] 其实有时候是这样
[00:39:45] 就是一个东西
[00:39:46] 怎么说
[00:39:47] 你在前面你喊破喉咙都不会涨
[00:39:49] 可是时间到了
[00:39:50] 他就突然间喷出去了
[00:39:51] 就类似以近期的案例
[00:39:53] 
[00:39:53] 前面我们在想说
[00:39:54] 为什么国际的都在动
[00:39:55] 为什么台湾的不动
[00:39:56] 就台湾的一动
[00:39:57] 就怕国际最凶
[00:39:59] 那会不会后来什么产物
[00:40:00] 或是一些相关的建厂股
[00:40:02] 后来就变超凶的
[00:40:03] 不一定
[00:40:04] 但是我是相信说
[00:40:05] 反正你公司
[00:40:06] 只要持续的营运都好的话
[00:40:08] 你股价终究会还你公道
[00:40:09] 只是有时候你可能会等很久
[00:40:11] 如果真的等不及的话
[00:40:12] 你就去配置一点别的东西
[00:40:14] 因为很多人他其实很纠结
[00:40:15] 一直问的原因是因为
[00:40:16] 谁叫你要说他
[00:40:17] 
[00:40:17] 你就没有参与到别的东西
[00:40:19] 你就难受
[00:40:20] 所以可能还是要去注意一下
[00:40:21] 这个资产配置的问题
[00:40:22] 下面一位
[00:40:23] 轮陷区气氛仔
[00:40:24] 飞把雄鹰神木之岛
[00:40:26] 台湾漫游路
[00:40:27] 标题是最近有趣的东东
[00:40:29] 梦公是气氛仔
[00:40:30] 不对
[00:40:31] 像是废物跟单仔
[00:40:32] 但是个股最大回撤20%也没再怕
[00:40:34] 那种动不动就该的
[00:40:36] 怎么不乖乖去买债券货币基金
[00:40:38] 废话
[00:40:39] 人家都说是长期看好了
[00:40:41] 两个礼拜就再该20%也撑不住
[00:40:44] 别说个股了
[00:40:45] 连0050都不该碰
[00:40:46] 都是他说的不是我说的
[00:40:47] 但我还有大半台车在cash drag
[00:40:50] 这样算是好的跟单仔吗
[00:40:51] 不说了我要为准备涨价的ns2哭泣了
[00:40:54] 感恩梦公爱您
[00:40:56] 对其实多头市场久了
[00:40:58] 就会发生这样的事情
[00:40:59] 就是开始会有像我上集提到的
[00:41:01] 叠个1%叫做崩盘
[00:41:02] 叠个3%叫做什么大逃杀的人出现
[00:41:04] 但大家就稍微再忍耐一下
[00:41:06] 后来真的回答的时候这些人就不见
[00:41:08] 他们会再骂一阵子
[00:41:09] 然后后来他们就不见
[00:41:10] 这是一波一波那种韭菜长出来
[00:41:12] 然后被割掉的一个场景
[00:41:13] 后来就会换来耳根清静
[00:41:15] 所以就稍微忍耐一下
[00:41:16] 多头就是大家都想要出来
[00:41:18] 昂西亚个良神
[00:41:19] 
[00:41:19] 没有关系
[00:41:20] 因为像我们自己有时候也会想昂西亚
[00:41:21] 只是我们会尽量去忍住
[00:41:22] 因为一般知道说
[00:41:23] 当你要跟大家说
[00:41:24] 我家好舒服啊
[00:41:25] 你就准备要痛哭了
[00:41:26] 下面一位
[00:41:27] 谢谢梦公
[00:41:28] 海地我喜欢
[00:41:29] 你可以跟我在一起吗
[00:41:30] 嗨梦公宝贝
[00:41:31] 先感谢埃大无私分享市场跟我们资讯
[00:41:33] 但要担心
[00:41:34] 要是哪天埃大不更新我就完蛋了
[00:41:36] 有自己试着去连接里面挖
[00:41:37] 但发现难以再现化
[00:41:39] 那推估梦公是用AI爬会比较有效率
[00:41:41] 
[00:41:41] 一方面问题平常都是用成Prompt
[00:41:43] 来整理每日资讯
[00:41:44] 二
[00:41:45] 爬下来这些资讯
[00:41:46] 你怎么知道哪些有用哪些画梦
[00:41:47] 怎么做好正确筛选这件事情
[00:41:49] 爱秋口
[00:41:50] 这个不是
[00:41:51] 这不是上次的留言有念到
[00:41:53] 好像几乎是一模一样的东西吧
[00:41:55] 然后跳过
[00:41:56] 
[00:41:56] 东港鲍鱼大富
[00:41:57] 希望可以念到老婆爱你
[00:41:59] 那梦公大家好
[00:42:00] 想请梦公去卡住老婆阿秋
[00:42:02] 5月26号生日快乐
[00:42:03] 很谢谢你这两年在家独自育儿
[00:42:05] 那真的把麦子养得很好
[00:42:07] 我会继续当你的最佳队友
[00:42:08] 并成为在任何时候都可以好好接住你的铁补
[00:42:11] 继续爱你跟麦子哦
[00:42:13] 另外想问梦公当初有过季想诺雅早点去上学
[00:42:16] 但同时又担心学校失晕状况
[00:42:18] 跟突然不舍每天突然少几个小时黏在一起的复杂心情吗
[00:42:23] 那最后祝梦公一家何乐安康
[00:42:25] 这个真的是会发生在每隔地方把他骂他身上了
[00:42:28] 那像孩子去上学的时候
[00:42:30] 当然很舍不得
[00:42:31] 那时候我老婆还哭了
[00:42:32] 我是没有到哭了
[00:42:33] 可是我就会一定下课去接他
[00:42:34] 就是我下课一定都会骂亲自跑去接他
[00:42:36] 因为就是太想念他了
[00:42:37] 然后后来甚至会这样
[00:42:39] 就是有时候会在不影响老师的范围内
[00:42:41] 就是你当然不要整天去破坏人家的计划
[00:42:44] 那只是如果说今天刚好是有一些才艺课
[00:42:46] 那不一定要上的
[00:42:47] 那我就跟老师说那我会提早接走
[00:42:49] 就会给他一些惊喜
[00:42:50] 因为你会想到你小时候你把他妈
[00:42:51] 偶尔他可能到学校提早把你接走
[00:42:54] 你知道同学羡慕的眼光或什么的
[00:42:56] 所以会给他一些这种小surprise
[00:42:58] 那我觉得也是促进大家的感情
[00:43:00] 那最后没有发现说小别盛行欢
[00:43:01] 因为像孩子
[00:43:02] 我们他出去的时候会一直想他没错
[00:43:05] 然后会希望他一直跟我们待在一起
[00:43:07] 
[00:43:07] 礼拜六礼拜天的时候就有得你受
[00:43:09] 礼拜六礼拜天我就心中想说
[00:43:10] 妈的应该要多包一点才艺的
[00:43:12] 应该多学一点游泳或什么的
[00:43:14] 那可是当上课的时候
[00:43:15] 那个平衡是最好的
[00:43:16] 就他有去上课
[00:43:17] 那回到家里陪你玩
[00:43:18] 晚上闹一下什么
[00:43:19] 你也会觉得说很可爱
[00:43:20] 可是如果整天待在一起他在闹的时候
[00:43:22] 你就会觉得说
[00:43:23] 妈的早知道那时候就把你按在墙上
[00:43:24] 那样不会这样
[00:43:25] 只是就是会有一些不一样的想法
[00:43:27] 所以我个人还是认为说
[00:43:28] 保持一些那种可爱的距离是OK的
[00:43:31] 一开始会比较难受
[00:43:32] 没错
[00:43:33] 但后面你会觉得这样的距离是健康的
[00:43:35] 我自己目前是觉得可能就是小孩以后
[00:43:38] 我还是希望他不要出国啊
[00:43:40] 虽然我知道很多家长他们的想法都是
[00:43:41] 孩子就是要送出国去教育
[00:43:43] 或什么的
[00:43:44] 那我的想法是
[00:43:45] 我的孩子应该就是要留在我身边
[00:43:47] 那他长大之后呢
[00:43:48] 他也不用去什么拿什么学历去帮谁上班
[00:43:50] 他应该自己去开一个
[00:43:51] 不知道就可爱的小店之类的
[00:43:53] 反正他只要可以养活自己
[00:43:54] 然后快乐就好
[00:43:55] 我不会想要他去什么国外念书
[00:43:57] 然后爬个什么corporator
[00:43:58] 或者回来帮爸爸经营什么
[00:44:00] 在我看来
[00:44:01] 至今我觉得我做家长一点
[00:44:03] 可能还蛮不错的是
[00:44:04] 我都一直记得我的初衷就是
[00:44:06] 小孩子健康快乐就好
[00:44:07] 至今我都是这样
[00:44:08] 那我希望他上国中高中
[00:44:10] 我不会迷失掉
[00:44:11] 然后变成说
[00:44:12] 你知道就是网路迷影讲的
[00:44:14] 你当初不是讲说他健康快乐就好
[00:44:16] 你怎么现在要求一大堆
[00:44:17] 我希望我一直可以维持这样的初衷
[00:44:19] 下面一位大猪猪
[00:44:20] 反方向的钟
[00:44:22] 穿梭时间的画面如钟
[00:44:24] 从反方向开始移动
[00:44:25] 安安梦公子嘎
[00:44:26] 虽然知道您不怎么喜欢庆生
[00:44:28] 但还是要预祝您生日快乐
[00:44:30] 吃骨挡挡喷高高
[00:44:31] 也祝您一家和鼓友们身体健康
[00:44:33] 事顺心感恩爱您PS
[00:44:34] 怕到时候留不到
[00:44:36] 所以提早开始留言
[00:44:37] 这个还是蛮感动的
[00:44:38] 虽然我自己
[00:44:39] 对我真的没有再过生日
[00:44:40] 我自己也会忘记自己的生日
[00:44:41] 或什么的
[00:44:42] 那只是非常感谢一些听众
[00:44:44] 有记得小弟的生日
[00:44:46] 光这样子我就觉得非常开心
[00:44:48] 那也希望你平安静安快乐
[00:44:49] 下面一位
[00:44:50] 
[00:44:50] 杠杆梦公子嘎
[00:44:52] 
[00:44:52] 我有一个三月入股市的朋友
[00:44:54] 每天都在说怎么炒股票
[00:44:56] 说自己靠杠杆赚了多少烦死了
[00:44:58] 所以我建议他用选择权比较快
[00:45:00] 那现在他安静多了
[00:45:01] 顶多就是靠北一下
[00:45:02] 之前带我们飞
[00:45:04] 现在借钱都借不到
[00:45:05] 那可以麻烦梦公去给他分享一下
[00:45:07] 好玩的游戏吗
[00:45:08] 谢谢
[00:45:09] 所以这位朋友就亲自帮他朋友送中
[00:45:11] 我就被烦到不行
[00:45:12] 然后就跟他讲说
[00:45:13] 我介绍一个更快的杠杆方法
[00:45:15] 然后去搞一些选择权
[00:45:16] 对
[00:45:17] 那个死掉的机率就会变很高
[00:45:19] 那选择权其实本身是一个
[00:45:20] 我认为还是蛮好用的工具
[00:45:22] 只是就是对
[00:45:23] 就是在上面死亡率真的
[00:45:24] 就会偏高
[00:45:25] 要自己要小心
[00:45:26] 那再讲说好玩的游戏
[00:45:27] 7月唯一推荐
[00:45:29] 红颜入笔
[00:45:30] 请大家在steam上面去找到
[00:45:31] 红颜入笔
[00:45:32] 然后去把它放到你的愿望清单
[00:45:34] 希望大家都可以支持这一款
[00:45:36] 台湾优秀的杯果游戏所开发的游戏
[00:45:38] 也是我们香南资本投资的第一款
[00:45:40] 就是有对外公布
[00:45:42] 并且要准备上市的游戏
[00:45:44] 希望他可以销售长红
[00:45:45] 一定是非常赞的
[00:45:46] 他那个试玩版是超级好玩的
[00:45:48] 这边再三的跟大家推荐
[00:45:50] 下面一位
[00:45:51] 君锦君妈咪的心愿
[00:45:53] 送给我们家最爱梦工的
[00:45:55] 左营区谷海女神
[00:45:57] 本来今年排班轮到弟弟来抢留言
[00:45:59] 但是儿子毕竟比较不靠谱
[00:46:01] 结论梦工还是一定要生女儿
[00:46:03] 而且跟你越像
[00:46:04] 你越知道要爱他一辈子
[00:46:06] 乖好笑
[00:46:07] 那祝妈咪永远这么健康喜乐
[00:46:09] 希望你在国外庆生的旅程中
[00:46:11] 听到留言
[00:46:12] 但失败继续努力到母亲节
[00:46:15] 也都没有成功
[00:46:16] 但不管哪一天都一样
[00:46:18] 那最后请用猛男的声音
[00:46:19] 阿牧我们永远爱你
[00:46:21] 这个我好像很常看到
[00:46:22] 左营区女骨神
[00:46:24] 还是说左营区有很多个女骨神之类
[00:46:26] 但这个应该是一个很和乐融融的家庭
[00:46:30] 整天都来帮他妈妈留言
[00:46:31] 那希望这个地方的自身美少女
[00:46:34] 身体健康快乐平安
[00:46:36] 下面一位
[00:46:37] Vender Dong
[00:46:38] 设备蜡藏狗
[00:46:40] 孟公去搞
[00:46:41] 我是在Vender工作的打工仔
[00:46:42] 去年两个2330
[00:46:43] 泄密按虾看
[00:46:45] 觉得很不合理
[00:46:46] 合作厂商的那个被重判
[00:46:47] VS带到Intel家的无声无息
[00:46:49] 最摔的是我们第一线
[00:46:51] 以往开会讨论都会
[00:46:53] Teams让我们截图回去
[00:46:55] 与Fremont Contact
[00:46:56] 那现在客户为了求自保
[00:46:58] 都改成电话给资料
[00:47:00] Recipe和Map资料
[00:47:01] 怎么会有办法口头抄的详细
[00:47:03] 资料不完整
[00:47:04] 导致我们只能够生出垃圾
[00:47:06] 那最后开会再把我们订到墙上
[00:47:08] 有够靠北
[00:47:10] MK觉得这风气改变是否会影响到
[00:47:12] 之后产业的发展速度
[00:47:14] 现在工作真的长觉得
[00:47:15] 力步重新帮不上忙
[00:47:17] 没有办法
[00:47:18] 这个资料保密的需求
[00:47:20] 后面一定会越来越严重
[00:47:22] 越来越需要
[00:47:23] 就是说大家会尽可能的
[00:47:25] 宁可错杀也不要错放
[00:47:27] 所以这个绝对是要注意的东西
[00:47:29] 就像以前我们可能也会
[00:47:30] 我们可能也会在自己的电脑里面去存一些专家会议
[00:47:33] 或是一些图表什么的
[00:47:35] 现在都是连存都不存的
[00:47:36] 因为首先就是我们家会放一些权限给AI去做使用
[00:47:39] 你不知道这个资料出去会不会害到人
[00:47:41] 就是你自己已经受惠于这个资料
[00:47:43] 那你不想要害到人
[00:47:44] 你也想当一个有credit的人
[00:47:45] 你也想当一个大家会信赖
[00:47:47] 可以跟你分享资源的人
[00:47:48] 所以像我们这边为什么蛮多时候可以拿到很多新的资源
[00:47:51] 因为从以前到现在没有半个听众被我卖过
[00:47:54] 那当然你有给我一些资源的听众
[00:47:57] 我也会回你一些资源
[00:48:00] 我们讲的不是说那种什么国安机密的东西
[00:48:02] 反正就是一些产业的know how
[00:48:03] 那知道的比别人快就会有一些优势
[00:48:05] 所以去保护别人是很重要
[00:48:07] 保护自己也是非常重要
[00:48:08] 那当然你看到这些所谓的客人们
[00:48:11] 他们现在不敢给你截图或什么有的没有东西
[00:48:14] 就是因为他们也想要保护自己
[00:48:15] 因为知道说这个东西
[00:48:16] 虽然严格上来说可能是
[00:48:19] 就如果你以产业的角度来讲
[00:48:21] 大家会知道说这个还好
[00:48:22] 但就是传在一些人的眼中
[00:48:24] 它会变成是很严重的东西
[00:48:26] 就跟我们当兵那时候很喜欢讲的一句话一样
[00:48:28] 可大可小
[00:48:29] 真的要定你的时候
[00:48:30] 每件事情都可以放得很大
[00:48:31] 所以还是要避避风头
[00:48:32] 我觉得自己的工作辛苦一点也好
[00:48:34] 至少比你惹上麻烦
[00:48:35] 甚至吃官司来的好
[00:48:36] 所以要非常小心这件事情
[00:48:38] 下面一位
[00:48:39] 找到好枕头的Soxen
[00:48:41] 业配枕头真的超棒
[00:48:42] 枕头超好睡
[00:48:43] 找很多枕头都没有办法睡好
[00:48:45] 三天后到货马上用
[00:48:47] 像是打麻醉一样秒睡
[00:48:49] 唯一的困扰大概是手机
[00:48:50] 又忘了充电
[00:48:51] 这边是什么优质的购物频道吗
[00:48:52] 唯一认证
[00:48:53] 孟公奇卡的推荐讚讚
[00:48:55] 对啊
[00:48:56] 那个枕头真的超级好睡
[00:48:57] 那就希望你可以每天都好眠
[00:49:00] 下面一位
[00:49:01] 第一次留言测试
[00:49:02] 股票只会涨不会跌
[00:49:03] 孟公武安最近跟老婆
[00:49:04] 对于幼稚园的选择有些分歧
[00:49:05] 想去的幼儿园还没有抽签
[00:49:07] 看不上眼的幼儿园有给名额
[00:49:09] 我说如果没有抽到想去的
[00:49:11] 我就请育婴家自己带
[00:49:12] 但老婆说给我带
[00:49:13] 不如送去我看不上眼的幼儿园
[00:49:16] 请问孟公这样的婚姻
[00:49:17] 需要继续吗
[00:49:18] 谢谢孟公
[00:49:19] 你不是啊兄弟
[00:49:20] 只有这么严重吗
[00:49:21] 这没有这么严重
[00:49:22] 那你愿意再嫁育婴
[00:49:23] 其实就代表说
[00:49:24] 你是一个非常可靠的父亲
[00:49:26] 我觉得其实爸爸会愿意在家里
[00:49:27] 全时代小孩的是属于
[00:49:29] 比较难找到的一些人
[00:49:30] 所以太太应该要好好珍惜你
[00:49:32] 那太太也不应该去讲
[00:49:33] 不相信你的话之类的
[00:49:35] 因为我还是相信说
[00:49:36] 自己的爸妈去带的话
[00:49:37] 一定会带得最好
[00:49:38] 但是问题就是说
[00:49:39] 要考量现实
[00:49:40] 要考量收入
[00:49:41] 然后跟你可能
[00:49:42] 还会有第二胎或什么的
[00:49:43] 所以你不可以让自己抓得太紧
[00:49:45] 因为这样你后面有很多东西都不能做
[00:49:46] 所以还是会去送学校
[00:49:48] 那像我会觉得
[00:49:49] 对就是学校这种东西
[00:49:51] 有些你当下看喜欢
[00:49:52] 可是你之后不一定会喜欢
[00:49:53] 所以你未必用这么绝对的心态去看
[00:49:55] 有时候去试看看都是OK的
[00:49:56] 好那在这边拜拜
