[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由Sally赞助
[00:36:21] 但我戴的时候就是没有办法
[00:36:23] 哪不全程盯着
[00:36:25] 非生父
[00:36:25] 公口问题
[00:36:27] 你是属于无毛派还是有毛派
[00:36:28] 因为你们是东西方合并家庭
[00:36:30] 会请向哪一边
[00:36:31] 如果是无毛派会请人处理吗
[00:36:33] 三一直看到Flex有人在谢谢你讲
[00:36:35] Marvel跟被动元件什么的
[00:36:36] 总觉得这些人很快乐宝贝
[00:36:38] 还是我才是
[00:36:39] 就是觉得看得很白痴
[00:36:40] 第一个
[00:36:41] 我是属于会盯着看的
[00:36:43] 如果说你们家是长辈去放小孩的话
[00:36:46] 我更觉得要盯着看
[00:36:47] 因为长辈的速度会比较慢一点
[00:36:49] 所以建议都还是要看着
[00:36:51] 第二个是无毛派有毛派
[00:36:53] 我觉得有毛比较好一点
[00:36:54] 第三个
[00:36:55] 我也是蛮不喜欢这样子的东西
[00:36:58] 因为像之前
[00:36:59] 大概半年还一年前
[00:37:01] 我就印象很深刻
[00:37:03] 反正我在美股也是突然间
[00:37:05] killing spree
[00:37:06] 表现得再来蛮好的
[00:37:07] 然后后来
[00:37:08] 因为我在看好SDR Labs
[00:37:10] SDR Labs大家都知道说
[00:37:12] 它从200多就直接摔到100
[00:37:14] 反正就直接摔成狗就对了
[00:37:16] 我是没有后来去看怎么样
[00:37:18] 可是那时候我就记得说
[00:37:19] 有蛮多人就说
[00:37:20] 你看他过去表现超强
[00:37:22] 无脑跟就对了
[00:37:23] 支持他
[00:37:24] 其实我很不喜欢看到这种
[00:37:25] 因为什么叫做支持我
[00:37:27] 什么叫无脑跟我
[00:37:28] 因为老实讲
[00:37:28] 你赚钱与否跟有一点关系就没有
[00:37:31] 我们这边也没有说什么收费
[00:37:33] 所以如果你在那边催我很好的话
[00:37:35] 我会赚比较多钱
[00:37:36] 没有就是蛮多人会把他自己的选择外包给我
[00:37:40] 就是说因为我是相信梦工
[00:37:42] 所以我干嘛
[00:37:42] 所以我看到这种
[00:37:43] 我想法跟你一样
[00:37:44] 但我很意外有人的想法跟我一样
[00:37:46] 因为我以为一般听众只会觉得
[00:37:48] 就蛮忠心的看这件事情
[00:37:49] 但我自己会觉得
[00:37:50] 妈的那你自己的事情
[00:37:52] 就像现在有些人开始会说什么
[00:37:53] 听我讲完
[00:37:54] 他就决定要去做什么事情
[00:37:55] 没有你干你不要说那是我
[00:37:56] 那是你自己的事情
[00:37:57] 就是你不要把选择
[00:37:59] 好像说放在别人身上
[00:38:01] 那我也不是说什么
[00:38:01] 我要去逃避这种什么
[00:38:02] 如果今天是
[00:38:03] 比如说我是你的financial advisor
[00:38:05] 我收你的钱
[00:38:06] 我是你的理专
[00:38:07] 我收你的钱
[00:38:08] 你当然是要找我负责
[00:38:09] 这是没有问题
[00:38:09] 可是我也没有收你钱
[00:38:10] 那我在节目分享东西
[00:38:12] 就是老实讲
[00:38:13] 我也觉得这个节目的走势
[00:38:14] 实在还蛮特别的
[00:38:16] 最早其实真的是我
[00:38:17] 为了要去交一些股票圈的朋友
[00:38:19] 那有这个东西
[00:38:20] 然后后来就出圈了
[00:38:21] 所以出圈之后
[00:38:22] 你发现我有些东西
[00:38:23] 会讲的比较瘦一点
[00:38:24] 因为有些听众是不特定多数人
[00:38:26] 他不一定懂股票
[00:38:27] 你讲的这个东西
[00:38:28] 严格上来说
[00:38:28] 你有机会会害到他
[00:38:30] 就是如果大家看久
[00:38:31] 会知道说一些标的
[00:38:32] 我们不用讲西部每个标的
[00:38:34] 我们讲台股好了
[00:38:35] 台股这种
[00:38:36] 现在四万多点
[00:38:38] 四万多点的一个股票
[00:38:40] 然后竟然在过程中
[00:38:41] 这么多人会赔钱
[00:38:42] 所以一个同样的东西
[00:38:43] 还是会有很多人赔钱
[00:38:44] 那个除了说
[00:38:45] 一些技术实力
[00:38:47] 认知能力之外
[00:38:48] 脑力
[00:38:48] 抗压性或什么
[00:38:50] 全部都要去放行考验
[00:38:51] 所以就是不要去讲说
[00:38:53] 我都是听谁讲的
[00:38:54] 然后我去买
[00:38:55] 我觉得这种人就是
[00:38:56] 拿香跟败的
[00:38:57] 拿香跟败的
[00:38:58] 你有看过哪一个拿香跟败的
[00:38:59] 最后面走得很好的
[00:39:00] 大家自己他妈的动动脑
[00:39:02] 所以对
[00:39:02] 我也是觉得看到这种人
[00:39:03] 会比较浮躁一点
[00:39:04] 下面有位
[00:39:05] 宜然小农挺为
[00:39:07] 腰酸被痛的小农
[00:39:08] 害孟公小弟身受腰酸被痛
[00:39:10] 困然好一阵子了
[00:39:11] 那本来想说应该是长期务农
[00:39:12] 加上年纪增长的关系
[00:39:14] 就没有太在意
[00:39:15] 听到孟公分享之后
[00:39:16] 才开始在想
[00:39:16] 也许我不必如此
[00:39:18] 对那时候就是
[00:39:18] 我的想法真的是这样
[00:39:23] 有什么关键字
[00:39:24] 能不能请Rang哥分享一下
[00:39:25] 那另外孟公如果有空来宜然
[00:39:27] 欢迎来树仔夏农场
[00:39:29] 走走问乐意带
[00:39:29] 你们全家夏田体验种到
[00:39:32] 非常感谢
[00:39:32] 可能不是体验
[00:39:35] 可能就是如果说
[00:39:36] 这样的盘在维持一段时间的话
[00:39:37] 就请兄弟可以给我一个工作
[00:39:39] 我们以前也是那个苗栗
[00:39:41] 会种牛
[00:39:41] 我们会赶牛
[00:39:43] 以前家族有种田的基因
[00:39:45] 所以我相信这个工作
[00:39:46] 我可以升任
[00:39:47] 请老板到时候考虑我
[00:39:49] 那再讲说要找什么样的关键字
[00:39:51] 那个叫做功能性训练
[00:39:52] 你去找一下功能性训练
[00:39:54] 然后搭配物理治疗师
[00:39:55] 因为我的想法就是
[00:39:56] 跟你一开始一样
[00:39:58] 反正我就是年纪大了
[00:39:59] 我就是久坐
[00:40:00] 一定会这样子或什么的
[00:40:02] 然后后来就是
[00:40:02] 开始去做一些训练之后
[00:40:04] 发现说身体有逐渐在改善
[00:40:05] 所以当你的问题从十个
[00:40:07] 你就是放腿
[00:40:08] 干我不管了
[00:40:09] 死了算了
[00:40:10] 到你剩下两个
[00:40:11] 剩下两个
[00:40:11] 你就会去认真想说
[00:40:12] 那我是不是要认真去解决
[00:40:13] 这两个问题
[00:40:14] 我觉得找物理治疗师的
[00:40:16] 帮助也很大
[00:40:16] 所以有点像说
[00:40:17] 你终于把注意力
[00:40:18] 放到这个东西上面
[00:40:20] 你除了有功能性训练
[00:40:22] 或者是物理治疗师
[00:40:23] 然后再来
[00:40:24] 我自己平常也会去找伸展师
[00:40:26] 就直接把所有的东西都重了起来
[00:40:27] 那就是讲说
[00:40:29] 你不要只是让我
[00:40:30] 好像暂时不痛
[00:40:31] 我现在就是要解决这个问题
[00:40:32] 然后请大家帮忙
[00:40:33] 集市广义之后
[00:40:34] 就慢慢的有去识别出问题
[00:40:36] 就真的把它解决掉
[00:40:37] 那我甚至觉得最夸张的是
[00:40:39] 原来跟呼吸这么有关系
[00:40:40] 当我开始学会去做
[00:40:42] 副式呼吸
[00:40:43] 而且不只是到负
[00:40:44] 你还要去
[00:40:44] cue到你的背
[00:40:45] 不然我们在节目讲过
[00:40:46] 应该是有讲过
[00:40:47] 反正就是
[00:40:47] 要怎么样让你的呼吸
[00:40:50] 感觉会到你的背
[00:40:51] 特别是久做足
[00:40:52] 你在呼吸的时候
[00:40:53] 你试着把一个拳头
[00:40:54] 放在你的
[00:40:54] 就是你平常会痛到下背那边
[00:40:56] 然后在吸气的时候
[00:40:58] 要让你的气去鼓那个地方
[00:40:59] 然后你就用这个方式去做
[00:41:01] 去顶着你可能靠背的东西
[00:41:03] 你会一瞬间就发现说
[00:41:04] 你的背变得比较舒服
[00:41:05] 你气有吸下去就舒服很多
[00:41:07] 所以这只是其中一环
[00:41:08] 那当然还有像什么弓箭步
[00:41:10] 那不是一般的弓箭步
[00:41:11] 是有主力训练的
[00:41:13] 因为他已经知道说
[00:41:13] 我的左下背是比较弱一点的
[00:41:15] 那左下背可能是跟打网球
[00:41:17] 用右手去挥去诱发他
[00:41:19] 本来没有那么痛
[00:41:20] 后来变更痛
[00:41:21] 是因为这样
[00:41:21] 那要怎么样去解决左下背呢
[00:41:23] 那可能就是
[00:41:23] 弓箭步的时候
[00:41:24] 你的右手膝盖要顶着东西
[00:41:27] 那去往右边去扭
[00:41:28] 他等于说把你的
[00:41:29] 左边的宽给炫回来
[00:41:30] 反正有很多这种细项的东西
[00:41:32] 可是你没有去找专业人士
[00:41:33] 一一的帮你检查
[00:41:34] 你抓不出这种问题
[00:41:36] 所以我建议大家可以去
[00:41:37] 试看看
[00:41:38] 去把这个问题一一解决掉
[00:41:39] 因为是可以被解决的
[00:41:40] 像我的问题就已经解决了超过一半了
[00:41:42] 那下面一位
[00:41:43] JHH底线73
[00:41:45] 希望被念到
[00:41:46] PART7
[00:41:46] 孟公好
[00:41:47] 去年年底跟老公登记结婚
[00:41:49] 有幸上次被你念到真开心
[00:41:50] 今年出国回来之后
[00:41:51] 发现放松的感觉真的很棒
[00:41:53] 之前一直有金钱焦虑
[00:41:54] 不敢花钱
[00:41:55] 都要感谢老公推我一把
[00:41:56] 期待去扶刚能够看到若曦
[00:41:58] 5月18号是邱先生的生日
[00:41:59] 上次原来没有念到
[00:42:00] 虽然他生日过了
[00:42:01] 还会吃醋
[00:42:02] 我整天说孟公说
[00:42:03] 但我最爱的还是老公啦
[00:42:05] 那请孟公用肌肉猛男的声音
[00:42:07] 祝我老公生日快乐
[00:42:08] 下次再来试试我生日的留言密码
[00:42:10] 那祝福孟公一家
[00:42:12] 身体健康平安快乐
[00:42:13] 爱你
[00:42:13] 我爱你
[00:42:13] 那希望你们两个
[00:42:14] 可以快乐健康
[00:42:16] 那确实
[00:42:17] 把金钱焦虑给放下
[00:42:19] 金钱焦虑其实
[00:42:19] 它不只是金钱的焦虑
[00:42:21] 它还包含的
[00:42:21] 因为你要去获得更多的金钱
[00:42:23] 你要投出很多的
[00:42:24] 劳务或者说去动脑
[00:42:26] 所以它整体来说
[00:42:26] 是一个非常累人的事情
[00:42:28] 那稍微的把这种东西给放掉
[00:42:30] 稍微的让自己脑筋控下来
[00:42:32] 那确实是一个很好的体验
[00:42:34] 那希望你可以
[00:42:34] 持续维持这样子的体验
[00:42:35] 下面一位
[00:42:36] Samo Chin
[00:42:37] 你混蛋但我喜欢
[00:42:39] 听完上集脱续的胎教跟祝福
[00:42:41] 我真的觉得梦工太糟糕
[00:42:43] 但这就是你
[00:42:44] 不用觉得这样不好
[00:42:44] 那还记得你上台通的时候
[00:42:46] 我分享
[00:42:46] 第一次LISA过来
[00:42:47] 就带去给你朋友认识
[00:42:48] 当下您朋友就干干叫
[00:42:50] 我觉得就是因为你这么糟糕
[00:42:51] 还能够拥有LISA
[00:42:52] 是我的话
[00:42:53] 当下一定也是干干叫
[00:42:54] 那by the way
[00:42:55] 去年底开始
[00:42:56] 资产很不容易开始加速向前
[00:42:58] 但因为家中太多
[00:42:59] 贪小便宜
[00:43:00] 去接触大陆币圈的传直销
[00:43:01] 那因此还贷款了一笔钱
[00:43:04] 那最近为了让老婆安心
[00:43:06] 就把每日股都清完
[00:43:07] 帮助她还贷款
[00:43:08] 让我觉得人生好难
[00:43:10] 不知道
[00:43:12] 就对
[00:43:13] 当然家里遇到这种事情
[00:43:14] 我老实说
[00:43:16] 如果是我的话
[00:43:17] 我会蛮生气的
[00:43:18] 但就是发生了
[00:43:20] 就是要去处理
[00:43:21] 因为毕竟两夫妻在一起
[00:43:22] 这样讲的
[00:43:23] 老婆或是说老公
[00:43:25] 是你各位跟我自己
[00:43:27] 我们这一辈子
[00:43:28] 唯一可以选择的家人
[00:43:30] 对吧
[00:43:31] 你爸妈你不能选吗
[00:43:32] 你生下来就是配这两个
[00:43:33] 或甚至是一个
[00:43:34] 或甚至是不知道
[00:43:35] 你爸妈是谁
[00:43:36] 你也不知道
[00:43:36] 但那是天注定的
[00:43:38] 那你的小孩
[00:43:39] 严格上来说
[00:43:40] 你能够决定
[00:43:41] 要不要让他出来
[00:43:42] 可是出来之后
[00:43:43] 你也是没得选
[00:43:45] 那就是跟你了
[00:43:46] 他个性是怎么样
[00:43:47] 你没得选
[00:43:47] 可是老公跟老婆
[00:43:49] 是可以选的
[00:43:49] 所以当一个东西
[00:43:50] 是你可以选择的
[00:43:52] 然后结果他
[00:43:53] 可能稍微就雷了一下
[00:43:54] 有时候会生气
[00:43:56] 会怎么样
[00:43:57] 会觉得说
[00:43:58] 我怎么会做出这样判断
[00:43:59] 是不是要换人
[00:44:00] 所以会比较容易
[00:44:01] 有那种挫折感
[00:44:02] 可是你要换个角度说
[00:44:03] 就是每个人都会犯错
[00:44:05] 那今天可能他犯的错
[00:44:06] 是这种
[00:44:06] 老实讲
[00:44:07] 你说拿钱还一还就解决了
[00:44:09] 搞不好
[00:44:09] 之后你犯的错
[00:44:10] 你犯的错是你的身体不好
[00:44:11] 然后你握病在床
[00:44:13] 结果是你老婆
[00:44:14] 来照顾你之类的
[00:44:15] 所以我觉得夫妻
[00:44:16] 就是要互相的扶持
[00:44:17] 当下有脾气
[00:44:18] 已经正常的
[00:44:19] 就是对方犯了什么错
[00:44:21] 或是怎么样的
[00:44:21] 可能是讲了很多次
[00:44:22] 那你怎么还是
[00:44:23] 一样会被雷
[00:44:23] 怎么还是会贪心
[00:44:24] 可是你要知道
[00:44:25] 有一天你也可能会犯错
[00:44:26] 那老婆跟老公
[00:44:28] 是唯一一个
[00:44:29] 就是我们这辈子
[00:44:29] 给自己选的家人
[00:44:30] 所以还是要
[00:44:31] 好好地照顾一下
[00:44:32] 如果对方是有悔悟
[00:44:33] 是有去修正的
[00:44:35] 那我们就是把它散口
[00:44:36] 这个是没有问题的
[00:44:37] 那当然没有悔悟
[00:44:38] 没有修正
[00:44:38] 还一直要往死里去的
[00:44:40] 那个另当别论
[00:44:41] 大概这样
[00:44:42] 下面一位
[00:44:42] 女人就是贱
[00:44:44] 他讲的不错
[00:44:46] 靴子里有蛇
[00:44:47] 钢门里也有
[00:44:48] 开始了
[00:44:49] 开始有怪咖出来
[00:44:50] 老板很久没有鬼叫
[00:44:51] 可以请大叫医生给我停吗
[00:44:52] 我现在已经
[00:44:53] 我已经交不出来了
[00:44:54] 我已经没有力气了
[00:44:55] 我看到昨天那个盘
[00:44:55] 我没有力气了
[00:44:56] 想问老板会买
[00:44:58] 不知道为什么在涨的股票吗
[00:45:00] 这到底问这什么问题
[00:45:01] 这不是都讲到烂调
[00:45:02] 为什么要去买一个
[00:45:03] 我不知道什么在涨的
[00:45:04] 我知道为什么在涨了这么多
[00:45:06] 为什么我要去买一个
[00:45:06] 我不知道为什么在涨的
[00:45:08] 你去买这种
[00:45:09] 就很容易受伤
[00:45:09] 就想记住没有
[00:45:11] 有气到好
[00:45:12] 有气到好
[00:45:12] 尤其还又冲进去
[00:45:13] 这个死掉的机率都偏高
[00:45:15] 我觉得
[00:45:16] 那有发现龙岩
[00:45:17] 几乎每年都会来一波
[00:45:19] 很凶狠的涨势
[00:45:20] 只是完全不懂为什么会涨
[00:45:21] 1月14号发现涨停后
[00:45:22] 隔天果断市价单上车
[00:45:24] 一周后一根绿K就出场了
[00:45:25] 面对不知道上涨理由的股票
[00:45:27] 老板会怎么抓停损停利
[00:45:28] 这个就是有点像说
[00:45:30] 去玩乐透的感觉
[00:45:32] 我感觉很像
[00:45:33] 只是胜率比乐透高蛮多的东西
[00:45:34] 我是不会去做这样子的事情
[00:45:36] 那我也不鼓励去做这样子的事情
[00:45:38] 那你说一根绿K就出场
[00:45:40] 我觉得还OK
[00:45:40] 简单讲就是说
[00:45:41] 你是技术面进来
[00:45:42] 技术面出去
[00:45:43] 前后逻辑一样是OK的
[00:45:45] 只是我不会去做这种事情
[00:45:46] 就像我不会去做什么
[00:45:47] 无本当冲
[00:45:48] 什么每日当冲
[00:45:49] 我不做这种事
[00:45:50] 很多人会去跟你鼓吹
[00:45:51] 有些事情就是
[00:45:52] 你做的期望就不高
[00:45:53] 所以就不要浪费生命去做那样的事情
[00:45:55] 如果你还是做的很开心的话
[00:45:56] 那就加油
[00:45:57] 下面一位
[00:45:58] 老黄懂吃懂太常跳过
[00:46:01] 下面一位
[00:46:01] 我要当个好爸爸
[00:46:02] 宝宝一定是忘了待
[00:46:04] 梦说大
[00:46:05] 我老婆因为身体有些状况
[00:46:06] 难以自然受孕
[00:46:07] 今天我们做了两次试管
[00:46:09] 第一次失败十分沮丧
[00:46:10] 终于在第二次成功
[00:46:11] 当下听到消息激动了落泪
[00:46:13] 非常心疼老婆哀真的辛苦
[00:46:15] 到了第六周回诊的时候
[00:46:17] 医生帮我测了心跳
[00:46:18] 至今忘不掉宝宝有力的心跳声
[00:46:20] 但非常遗憾
[00:46:20] 在第八周准备理妈妈手册的时候
[00:46:22] 检查出宝宝胎庭
[00:46:24] 那真的很难过
[00:46:25] 也难以接受这个事实
[00:46:26] 但我们都告诉彼此
[00:46:27] 宝宝一定是东西忘了待
[00:46:29] 那我们会打起精神
[00:46:30] 准备好迎接他再次到来
[00:46:32] 我觉得这种事情
[00:46:35] 用这样的心态处理是对的
[00:46:37] 那希望你们可以持续的
[00:46:38] 维持正向
[00:46:40] 就像刚才前面提到的一小段
[00:46:42] 因为我们在人生之中
[00:46:43] 我们不知道会遇到什么事情
[00:46:45] 其实很多我们的苦难
[00:46:46] 不然说像之前有一个工作到
[00:46:48] 让他可能压力很大
[00:46:50] 很忧郁的
[00:46:50] 我那时候也是有点
[00:46:51] 就是可能不胜发言
[00:46:53] 在一些人的眼中
[00:46:54] 我就跟他讲说
[00:46:55] 你这根本没什么
[00:46:56] 因为那真的没什么
[00:46:56] 因为只要你可以转个念
[00:46:58] 立刻转念
[00:47:00] 然后或者说立刻选择
[00:47:01] 妈我不爽干
[00:47:02] 我辞职或什么的
[00:47:03] 你只要有选择的东西
[00:47:05] 立刻股票去降杠
[00:47:06] 立刻去把本来可能
[00:47:08] 掉下来的东西
[00:47:09] 煎起来什么的
[00:47:10] 你只要可以去
[00:47:11] 因为你的作为就改变了事情
[00:47:13] 那个真的
[00:47:14] 不算什么烦恼
[00:47:15] 特别是我觉得很多地方爸妈
[00:47:17] 那可能跟我一样
[00:47:18] 那时候二儿子遇到一些事情
[00:47:20] 当你开始有这些
[00:47:22] 你没有办法做任何事情的
[00:47:25] 那种东西出来之后
[00:47:27] 你对世界的感受会变得很不一样
[00:47:30] 以前你曾经以为是
[00:47:31] 很严重很大条的东西
[00:47:33] 你后来就发现
[00:47:34] 那根本就没什么
[00:47:35] 然后你也会理解
[00:47:36] 像一些那种很俗套的话
[00:47:37] 钱可以解决的
[00:47:39] 真的都不是问题
[00:47:40] 有很多东西是
[00:47:41] 你有再多钱
[00:47:42] 你有再多的意志力
[00:47:44] 好像以前我都是那种
[00:47:45] 人定胜天的
[00:47:46] 我就知道说
[00:47:47] 有些事情
[00:47:48] 我没有办法解决
[00:47:49] 所以当面对这种事情的时候
[00:47:51] 就最好的方式
[00:47:52] 就像这两位
[00:47:53] 这个听众朋友们
[00:47:55] 我不知道她的太太是不是
[00:47:56] 反正总之就是
[00:47:57] 稍微的去期待未来
[00:48:00] 因为也只能够这样
[00:48:01] 那要知道其实每个人
[00:48:02] 都一定会遇到一些不好的事情
[00:48:04] 那最后面的
[00:48:05] 好事终将会发生
[00:48:06] 只能够这样
[00:48:07] 人是要维持乐观的
[00:48:08] 维持乐观才有燃料君
[00:48:09] 面对每一天
[00:48:10] 下面一位
[00:48:10] 林口太会吃饭
[00:48:12] 好了你帮帮人民的
[00:48:13] 为基金设立福利
[00:48:15] 天主善的
[00:48:16] 后面那是我接的
[00:48:17] 你看这就是暗号
[00:48:18] 他前面讲这个
[00:48:18] 我后面就要接这个
[00:48:19] 还是有人懂GI Joe的
[00:48:21] 那所有GI Joe的回忆都回来了
[00:48:23] 看到很多人都有
[00:48:23] 共同的回忆
[00:48:24] 让我觉得这个同温层超赞
[00:48:26] 那请梦工用川普的语气
[00:48:28] 做的好妈记
[00:48:29] 阿景
[00:48:29] 6月15号
[00:48:31] 生日快乐
[00:48:32] What a great guy this is
[00:48:34] 下面一位
[00:48:34] SMLO加码一颗
[00:48:37] 新当标题
[00:48:38] 川普声音
[00:48:38] 然后后面要祝我生日快乐
[00:48:40] 我只是不太习惯
[00:48:41] 跟我自己讲
[00:48:41] 这个生日快乐
[00:48:43] 非常感谢大家的行议
[00:48:44] 那周四在Computex
[00:48:46] 收获满满
[00:48:46] 却没有遇到主委
[00:48:47] 太遗憾了
[00:48:48] 那真希望可以跟MK
[00:48:49] 当面交流业界的心得
[00:48:51] 那最后请梦工
[00:48:51] 右手向前
[00:48:53] 做出弹额头的首饰
[00:48:55] 涌唱
[00:48:56] 九刚
[00:48:56] 偏光
[00:48:57] 鸟语声明
[00:48:58] 表里之间
[00:48:59] 虚式
[00:48:59] 此
[00:49:00] 那此还是花
[00:49:01] 一个草
[00:49:02] 下面一个此
[00:49:02] 这是什么奇怪的东西
[00:49:04] 该不会讲了之后
[00:49:04] 待会我原地
[00:49:05] 肛门爆炸之类的
[00:49:07] 对
[00:49:07] 这位兄弟好像
[00:49:08] 你在AMD上班吧
[00:49:09] 没记错的话
[00:49:10] 因为我们在那个
[00:49:11] 球场有遇到过
[00:49:12] 然后记得是
[00:49:12] 他有跟我讲
[00:49:13] 那是他的IET
[00:49:14] 或什么的
[00:49:15] 我现在看到AMD
[00:49:16] 在汉来
[00:49:17] 好像有一个施展
[00:49:18] 或许
[00:49:18] 如果以后有酷东西的话
[00:49:19] 我也会想去看看
[00:49:20] 对
[00:49:20] 那一天是没有看到AMD的东西
[00:49:22] 比较可惜没有遇到
[00:49:23] 那非常感谢你的祝福
[00:49:24] 那再念的最后一个
[00:49:25] 最近在看
[00:49:26] 肛练的EG
[00:49:28] 某光安
[00:49:28] 最近的人生问题是
[00:49:29] 不知道怎么跟
[00:49:30] 小六的子女说
[00:49:31] 不要太管闲事
[00:49:32] 和他爱分享
[00:49:33] 因为有些小朋友
[00:49:34] 不一定会想
[00:49:35] 接受他的好意
[00:49:35] 那还想请蒙公
[00:49:37] 用蒙男语音
[00:49:37] 包住我的三位好朋友
[00:49:39] 北屯大宝
[00:49:40] 潘宝
[00:49:41] 风尚苹果汁
[00:49:42] 六月份生日快乐
[00:49:44] 那也顺便请
[00:49:45] 潘宝跟风尚苹果汁
[00:49:46] 赶快去玩火侠传吧
[00:49:47] 感谢孟公的呼吁
[00:49:48] 那真的是一款
[00:49:49] 非常棒的游戏
[00:49:50] 那希望有一天
[00:49:51] 可以在皮诺可遇到
[00:49:52] 您跟Lisa
[00:49:53] 也祝福全家
[00:49:54] 跟Choco健康快乐
[00:49:55] 非常感谢
[00:49:56] 那对
[00:49:57] 我们祝他们生日快乐
[00:49:58] 那也希望你们玩
[00:49:59] 回到转快乐
[00:49:59] 那这一边拜拜
