[00:00:00] 欢迎收听古爱,我是顺目公
[00:32:49] 他失控太嗨
[00:32:51] 然后后面被卡掉
[00:32:52] 那会不会去看
[00:32:53] post malone
[00:32:54] 这次应该是不会
[00:32:55] 因为上次看过
[00:32:56] 然后上次的印象
[00:32:57] 其实老实说不是太好
[00:32:58] 因为你知道
[00:32:59] 就是后来
[00:33:00] 影片有传出来吗
[00:33:00] 虎爷吗
[00:33:01] 在地上
[00:33:01] 在地上那个
[00:33:02] 不是什么大问题
[00:33:03] 问题是
[00:33:03] 他在虎爷的时候
[00:33:04] 然后又直接音场爆掉
[00:33:06] 那失去真的是
[00:33:07] 耳朵痛到不行
[00:33:08] 所以应该就没有下一次了
[00:33:10] 然后再来
[00:33:11] 萧南跟乌山
[00:33:12] 他并不是一个
[00:33:13] 就是每天都在分享的东西
[00:33:15] 因为我们讲的东西是真的
[00:33:16] 他是evergreen fund
[00:33:18] 也就是我们是
[00:33:18] 跟着这些funders
[00:33:20] 我们是跟你到最后的那一种
[00:33:22] 也就是我们不会去跟你
[00:33:23] 那边吹说
[00:33:24] 报酬率
[00:33:25] ROI
[00:33:26] 什么东西什么时候要出来
[00:33:27] 甚至去引导
[00:33:28] 去教你怎么样创作
[00:33:30] 我们就是一个
[00:33:31] 甚至某个程度上
[00:33:32] 可以讲说是
[00:33:33] 就是懂完的人
[00:33:34] 我们都知道自己
[00:33:35] 扛了什么风险
[00:33:36] 所以其实我们进来
[00:33:37] 都是陪这些案子
[00:33:37] 会走一阵子
[00:33:39] 那当然这些案子
[00:33:40] 并不会说
[00:33:40] 如雨后春笋般的
[00:33:42] 一直跑出来
[00:33:42] 只是持续都有
[00:33:43] 像现在已经有案子
[00:33:44] 是在steam上面
[00:33:45] 是有的
[00:33:46] 那只是因为
[00:33:46] 那些团队可能有些
[00:33:48] 不一定是会想
[00:33:48] 我们去公开它
[00:33:49] 那再来呢
[00:33:50] 有些东西会在后面上
[00:33:51] 就像今年会上的
[00:33:52] 红颜鹿笔
[00:33:53] 就是麻烦大家支持
[00:33:54] 那当然这个游戏出来之后
[00:33:55] 我们也会去
[00:33:56] 跟大家多聊一点
[00:33:57] 但它不会像是
[00:33:58] 我们在做投资交易
[00:33:59] 因为我可能
[00:34:00] 你就像说我现在的标的
[00:34:02] 手上持有的一个比例
[00:34:03] 跟一个月前
[00:34:04] 就有很大的差距
[00:34:05] 一个月前再跟
[00:34:06] 两个月前又有
[00:34:07] 超大的一个差距之类的
[00:34:08] 所以它不是这种
[00:34:09] 可能三天
[00:34:09] 就会去变来变去的东西
[00:34:10] 所以比较像是说
[00:34:12] 反正我们找到机会
[00:34:13] 就会持续的去做介入
[00:34:15] 那也非常感谢自己身边
[00:34:17] 就是这些股东
[00:34:18] 因为跟自己
[00:34:19] 有些是在投资交易里面
[00:34:21] 的一些同业
[00:34:21] 然后大家把钱拿出来
[00:34:22] 然后就放在里面
[00:34:24] 就真的都是让他去跑
[00:34:25] 那觉得非常感恩
[00:34:27] 有这样子的一个共识
[00:34:28] 所以之后有一些
[00:34:29] 好消息就持续跟他分享
[00:34:30] 只是这些东西
[00:34:31] 它不会是每天都有新东西
[00:34:32] 它跟那个投资交易
[00:34:33] 是有点不太一样的
[00:34:34] 那再讲说
[00:34:35] 幸运的风口珠
[00:34:37] 超过八行跳过
[00:34:38] 他自己这样写
[00:34:39] 那我就来数一下
[00:34:39] 12345678
[00:34:41] 跳过
[00:34:42] 下面一行
[00:34:42] 下面一位
[00:34:43] 班生
[00:34:44] 他自己叫我八行跳过
[00:34:45] 因为像这个
[00:34:46] 我本来不会跳过
[00:34:46] 可是
[00:34:47] 我这样好像很坏
[00:34:48] 来念一下
[00:34:49] 我是被老婆推更
[00:34:50] 才开始听古矮的
[00:34:51] 老实讲
[00:34:52] 刚开始听的时候
[00:34:53] 心里只有一句话
[00:34:54] 这人是在秋沙小
[00:34:54] 结果现在很靠杯
[00:34:55] 变成铁粉
[00:34:56] 自己不是有钱家庭出身
[00:34:58] 出社会后靠工作热情
[00:35:00] 一路拼到现在
[00:35:01] 但疫情后才发现
[00:35:02] 年轻时对股票不信任
[00:35:03] 钱是有赚
[00:35:05] 资产却没有跟上时代
[00:35:06] 所以要谢谢MK
[00:35:07] 让我在人生半百
[00:35:08] 才开始重新投资
[00:35:09] 虽然说投资是个
[00:35:10] 更虐心的修罗厂
[00:35:12] 但却多个机会
[00:35:13] 替家人替自己
[00:35:14] 准备一个更安心的未来
[00:35:16] 以上是吃了
[00:35:17] CPU族群大涨的感谢文
[00:35:19] OK
[00:35:20] 但有一天
[00:35:21] 你可能去
[00:35:22] 跟着去吃某个族群
[00:35:23] 然后就不会大涨
[00:35:24] 甚至是大赔
[00:35:25] 你这来自来自来要有心理准备
[00:35:26] 投资教育就是
[00:35:27] 你会有赚
[00:35:28] 你会有赔
[00:35:28] 那整体是赚的就好了
[00:35:29] 那再来讲说
[00:35:31] 就是一开始觉得
[00:35:31] 这个人在臭傻小召
[00:35:32] 很多人对我的第一印象都是
[00:35:34] 干你到底在屌什么
[00:35:35] 特别是听节目的
[00:35:36] 因为我本人
[00:35:37] 其实不会这样子讲话
[00:35:38] 因为我本人是不讲话的
[00:35:39] 不太讲话
[00:35:40] 但在节目里面
[00:35:41] 那可能就会
[00:35:42] 因为我就必须要表达
[00:35:43] 我就讲话
[00:35:44] 这是我的妈
[00:35:45] 单口秀
[00:35:46] 所以我就一直讲
[00:35:47] 那有些可能就会觉得说
[00:35:48] 这个人很谣白
[00:35:49] 很秋什么的
[00:35:50] 但是我觉得
[00:35:51] 我这样跟他讲
[00:35:52] 我不知道去帮自己
[00:35:53] 去做一个什么
[00:35:54] 佐证证明
[00:35:55] 或是想去justify
[00:35:56] 我的一些行为
[00:35:57] 我其实很刻意的
[00:35:59] 去让自己
[00:36:00] 看起来是谦逊的
[00:36:01] 所以你看到的
[00:36:02] 已经是一个谦逊的结果
[00:36:03] 很不好意思
[00:36:04] 但实际上
[00:36:05] 我现在要去
[00:36:06] 就像说
[00:36:06] 我看到一个店的评价
[00:36:08] 一个餐厅
[00:36:09] 那他的负评
[00:36:10] 都是在讲老板态度的
[00:36:11] 这种我一定会进去吃
[00:36:12] 就是那种高级餐厅
[00:36:14] 然后你只能够
[00:36:15] 骂他态度的
[00:36:16] 这我一定会进去吃
[00:36:16] 他骂的
[00:36:17] 为什么每个人都去想象
[00:36:19] 每个人一定讲话
[00:36:19] 都是什么温良公俭让
[00:36:21] 然后都要说话
[00:36:21] 难怪台湾一堆诈骗
[00:36:23] 因为他妈只要
[00:36:23] 讲好话给你听
[00:36:24] 编个报酬率给你听
[00:36:25] 你他妈的
[00:36:26] 你头就洗下去
[00:36:27] 那你不就活该吗
[00:36:28] 七世一世
[00:36:28] 所以我真的会
[00:36:30] 因为看到一些餐厅
[00:36:31] 然后我知道
[00:36:32] 这个老板是很有个性的
[00:36:33] 那他不是被骂说
[00:36:34] 什么食安问题
[00:36:35] 东西很脏
[00:36:36] 或什么的
[00:36:37] 我就会跑去吃
[00:36:38] 那甚至我发现说
[00:36:39] 自己身边的一些
[00:36:40] 专业人士
[00:36:41] 特别是
[00:36:42] 我觉得有一个差距是这样
[00:36:44] 有些专业人士
[00:36:44] 看起来可能说
[00:36:45] 他蛮问问如鸦的
[00:36:46] 那是因为他没有
[00:36:47] 接触到很多人
[00:36:51] 他本来都自己在搞
[00:36:51] 那后来就是认识我之后
[00:36:53] 我就介绍一些人给他认识
[00:36:54] 他认识很多人之后
[00:36:54] 他现在讲话也变超丘的
[00:36:56] 你知道为什么会变这样吗
[00:36:57] 因为他妈太多白痴了
[00:36:59] 整天
[00:36:59] 你今天你发现说
[00:37:00] 这个人聪明
[00:37:01] 你就变成你每天
[00:37:02] 都在问他白痴问题
[00:37:03] 问到后来
[00:37:03] 他回你
[00:37:04] 他真的就变很呛
[00:37:05] 他就直接就回你一些
[00:37:06] 其实他不想回你嘛
[00:37:07] 他想说你到底在干嘛
[00:37:08] 那为什么他会变这样
[00:37:09] 因为他的耐心被磨掉了
[00:37:11] 所以我后来发现说
[00:37:12] 就是蛮多
[00:37:13] 我自己知道的职人等级的
[00:37:15] 不管是可能股票
[00:37:17] 或是餐厅
[00:37:18] 或什么的
[00:37:19] 他们都会有他的个性存在
[00:37:21] 就是一般都会长得
[00:37:22] 比较有人有脚
[00:37:23] 那当然也会有一些
[00:37:25] 非常圆融的人
[00:37:26] 我只能够说
[00:37:27] 那个人他心里一定承受了很多
[00:37:29] 当你遇到这样子的人
[00:37:31] 你好好地珍惜这个人
[00:37:32] 因为你没有办法
[00:37:34] 把这些压力释放出来
[00:37:35] 遇到白痴
[00:37:36] 那个气
[00:37:36] 你没有直接吐回去的话
[00:37:37] 都等于是你内化去吸收掉了
[00:37:40] 所以甚至是这样讲
[00:37:41] 那跟地震一样
[00:37:42] 你没有正常能量释放的东西
[00:37:45] 后来他爆一个都爆最大的
[00:37:46] 平常看起来不讲话
[00:37:47] 他真的要爆炸的时候
[00:37:48] 他这帮你给宰了之类的
[00:37:50] 所以大概这样
[00:37:51] 但我不知道去帮自己开脱
[00:37:52] 我后来也觉得这是一件好事
[00:37:54] 就是有些人可能来听
[00:37:55] 然后觉得说
[00:37:55] 你在秋叉小的
[00:37:56] 你就赶快滚
[00:37:57] 那是也是最好
[00:37:58] 因为你不喜欢我
[00:37:59] 刚好其实老子也不喜欢你
[00:38:00] 就不要以为说
[00:38:01] 每个出来录节目的都是
[00:38:02] 流量我需要人
[00:38:04] 像最近有一些怪咖
[00:38:05] 那整天跑到YT讲说什么
[00:38:07] 你现在就在录节目
[00:38:08] 你其实是要服务大家
[00:38:09] 然后叫我去改我那个logo
[00:38:11] 什么太亮
[00:38:11] 他一直看他眼睛不舒服
[00:38:13] 我说他妈的
[00:38:14] 你不会去听podcast吗
[00:38:15] 你为什么要开着YT的荧幕盯着看
[00:38:17] 然后每天来洗我的留言说
[00:38:19] 我应该要去服务大家
[00:38:20] 我服你去红干
[00:38:21] 你不要听
[00:38:22] 你赶快他妈滚一滚
[00:38:23] 为什么会有一堆白痴
[00:38:24] 整天跑来留白痴的东西
[00:38:26] 好那下面一位
[00:38:27] 班生0503
[00:38:29] 还记得你说家是唯一的城堡
[00:38:32] 孟公好
[00:38:33] 好奇诺亚会找你玩角色扮演吗
[00:38:35] 最近陪儿子看
[00:38:36] 妙妙犬不利
[00:38:37] 那发现里面的爸爸
[00:38:39] 对小孩的要求极度配合
[00:38:41] 虽然说我儿子还不到
[00:38:42] 找我陪他玩的年纪
[00:38:44] 但我提醒我自己未来
[00:38:45] 也是要像布丽爸一样
[00:38:47] 当个不扫兴的老爸
[00:38:48] 那与你分享这部
[00:38:49] 优质的卡通案
[00:38:50] 我儿子超级喜欢
[00:38:51] 这个叫什么
[00:38:52] Bluey
[00:38:53] 因为我们不是要装逼
[00:38:55] 只是我们家里
[00:38:55] 我老婆是买英文的书
[00:38:57] 所以你刚才讲布丽
[00:38:57] 我还稍微想了一下
[00:38:58] 就是那个Bluey
[00:38:59] 我后来知道
[00:39:00] 那两个字都是女生
[00:39:01] 你知道吗
[00:39:01] Bluey跟Bingo都是女生
[00:39:03] 我还以为说蓝色
[00:39:04] 那个是男生
[00:39:04] 两个字都是可爱的女生
[00:39:06] 那他们就会
[00:39:07] 我记得Bingo是比较调皮的
[00:39:09] 像Bingo会
[00:39:10] 他有一个什么魔术羽毛
[00:39:12] 然后他就会让
[00:39:12] 牙刷变得很重
[00:39:14] 然后那个Bluey
[00:39:14] 就会跟着在刷牙的时候
[00:39:15] 就要趴到地上
[00:39:16] 因为太重了
[00:39:17] 然后或是说
[00:39:17] 他叫他爸爸停下来
[00:39:19] 然后他爸爸就会
[00:39:20] 瞬间暂停
[00:39:20] 就会陪他玩
[00:39:21] 那我确实也是会去玩
[00:39:22] 孩子的游戏
[00:39:24] 我还是会试着
[00:39:25] 让孩子去相信说
[00:39:26] 像什么
[00:39:26] 耶诞老人是真的
[00:39:28] 虎顾婆是真的
[00:39:29] 或什么
[00:39:29] 就是你不觉得这个世界
[00:39:31] 充满一点那种
[00:39:32] 魔幻的感觉
[00:39:32] 会是更好的一个世界吗
[00:39:34] 就如果说你现在
[00:39:35] 就跟他讲一些什么
[00:39:36] 理性科学现实
[00:39:38] 没有必要
[00:39:38] 因为他终究会学会
[00:39:40] 那活在一点
[00:39:41] 梦幻的世界挺好
[00:39:42] 特别是一堆家长
[00:39:43] 你们自己不是也活在
[00:39:44] 梦幻的世界里面吗
[00:39:46] 整天想想说
[00:39:47] 哪天你就fire了
[00:39:48] 就财务自由
[00:39:49] 整天想想
[00:39:49] 还没有结婚的
[00:39:51] 我一定会遇到
[00:39:52] 真命天女
[00:39:52] 然后最后没有
[00:39:53] 随便找一个人
[00:39:53] 就结婚了之类的
[00:39:54] 所以你知道
[00:39:55] 其实我们大家都
[00:39:56] 活在想象里面
[00:39:57] 人是需要一点想象
[00:39:58] 是需要有一些vision
[00:39:59] 需要有一些
[00:40:00] 政治是
[00:40:02] 怎么讲
[00:40:02] 一辈子不一定达得到的
[00:40:04] 某一种东西
[00:40:04] 但你可以想象说
[00:40:06] 有一天你可以去
[00:40:06] 或者这些东西
[00:40:07] 那是很好
[00:40:08] 所以我觉得
[00:40:08] 对小朋友的概念
[00:40:09] 是一样大概这样
[00:40:09] 下面一位
[00:40:10] 迪化街的台南人
[00:40:11] 敬才终于还钱
[00:40:12] 连本带利加倍还
[00:40:14] 但是还给前几集的听众
[00:40:16] 身为二宝爸
[00:40:18] 也是捏软联盟成员的老听众
[00:40:20] 想要拜托梦公推广
[00:40:22] 联盟更名
[00:40:23] 捏屌联盟
[00:40:24] 因为捏软只有痛
[00:40:25] 捏屌除了痛
[00:40:26] 还有一点爽
[00:40:27] 比较符合当爸的真实感受
[00:40:29] 不能够说他错
[00:40:32] 但是
[00:40:32] 但是捏软
[00:40:33] 你感觉去外面
[00:40:35] 跟大家自我介绍说
[00:40:35] 我是捏软
[00:40:36] 联盟的
[00:40:37] 还OK
[00:40:38] 你说我是捏屌联盟的
[00:40:39] 那不好听
[00:40:40] 所以那还是有一点
[00:40:41] 你知道我们要
[00:40:42] 尽量让自己看起来
[00:40:43] 因为我们现在
[00:40:44] 当爸的人
[00:40:45] 讲话要稍微收敛一点点
[00:40:46] 你大概知道
[00:40:47] 什么意思就好
[00:40:48] 然后他说
[00:40:48] 最后分享自己
[00:40:49] 骨骸的观察
[00:40:50] 一骨品好
[00:40:51] 绩效自然好
[00:40:52] 二做就对了
[00:40:53] 三骨灾体感
[00:40:55] 手抖
[00:40:55] 买进大盘
[00:40:56] 回头看都很甜
[00:40:57] 这一看就是
[00:40:58] 受过很多伤的人
[00:40:59] 他讲的完全正确
[00:41:00] 他说
[00:41:00] 祝梦公主卡
[00:41:01] 全家跟联盟成员
[00:41:03] 平安健康绩效
[00:41:04] 密码在QA
[00:41:06] 那首先第一个
[00:41:07] 股品好
[00:41:08] 绩效自然就好
[00:41:09] 这个股品看是
[00:41:10] 哪一种股品
[00:41:11] 我觉得来说
[00:41:12] 以我自己来讲
[00:41:13] 以前的股品
[00:41:15] 这种东西是
[00:41:16] 怎么说
[00:41:16] 就原来说
[00:41:17] 我会去在意说
[00:41:18] 身边朋友
[00:41:19] 可能推哪些东西
[00:41:20] 然后他整天推的东西
[00:41:21] 都miss我什么的
[00:41:22] 这个就是以前
[00:41:22] 我会觉得说
[00:41:23] 那你是不是故意
[00:41:23] 再推一些烂货
[00:41:24] 那可是到后来
[00:41:25] 我现在的股品是这样
[00:41:26] 因为我知道说
[00:41:27] 每个人都是有数有赢
[00:41:28] 包含像自己也是
[00:41:29] 那只是
[00:41:30] 你不可以
[00:41:31] 你叫我来买一个标底
[00:41:33] 特别是你狂推我
[00:41:34] 你不是说什么
[00:41:35] 你只是分享说
[00:41:36] 你家在买什么
[00:41:36] 你狂推我
[00:41:37] 你一直每天丢东西
[00:41:38] 跟我讲说多好
[00:41:39] 然后你说你自己买很多
[00:41:41] 然后我也知道
[00:41:41] 你分点是哪个
[00:41:42] OK
[00:41:42] 然后我跟你进去买
[00:41:43] 然后隔两天
[00:41:45] 你直接全部丢出来
[00:41:46] 如果说今天是
[00:41:47] 这两天是涨停板
[00:41:48] 然后你丢出来
[00:41:49] 那OK吗
[00:41:50] 代表说你也赚钱
[00:41:51] 你可能已经到
[00:41:52] 你的目标价了
[00:41:52] 没问题
[00:41:53] 不是
[00:41:53] 是你找大家进来
[00:41:55] 然后横盘横盘
[00:41:55] 你自己把盘砸掉
[00:41:57] 干妈的
[00:41:57] 就是我们身边
[00:41:58] 其实有超多种
[00:41:59] 就他自己把盘
[00:41:59] 直接给你他妈砸掉
[00:42:01] 然后就变成
[00:42:02] 形态就变差了
[00:42:02] 你最后面就是
[00:42:03] 我变成我留在
[00:42:05] 你妈里面洗碗
[00:42:06] 所以像我自己
[00:42:06] 如果说有聚重的
[00:42:08] 我尽量不做这种事
[00:42:09] 可是像之前
[00:42:10] 也有几次是聚重
[00:42:11] 没有办法
[00:42:12] 那有时候是
[00:42:12] 那种朋友的压力
[00:42:13] 跟我讲说
[00:42:14] 他们公司怎么样
[00:42:15] 不错
[00:42:15] 然后我就好
[00:42:16] 就揪一下大家
[00:42:16] 就最后面他妈
[00:42:17] 整车被埋掉
[00:42:18] 但我就是最后一个跳
[00:42:19] 我就是反正我赔
[00:42:20] 我是赔最多
[00:42:21] 对不起
[00:42:21] 这个可能是一个
[00:42:23] 错误的讯息
[00:42:23] 或什么的
[00:42:28] 那再来就是
[00:42:29] 我如果去揪大家
[00:42:30] 那我自己
[00:42:31] 我已经知道有问题要丢
[00:42:32] 我叫你们丢
[00:42:33] 那你们丢完之后
[00:42:34] 我再丢
[00:42:35] 我也是自己赔最多钱
[00:42:36] 但我知道
[00:42:37] 这其实是合理的
[00:42:38] 那你干嘛一开始要找人
[00:42:39] 就都比较早了很久
[00:42:40] 所以我现在其实
[00:42:40] 心态是比较偏常说
[00:42:41] 反正我真的都是搞自己
[00:42:42] 所以我想说
[00:42:43] 那是一个发散收敛的过程
[00:42:44] 就是从一开始
[00:42:45] 都是搞自己的
[00:42:46] 然后后来
[00:42:46] 开始去打一些团战
[00:42:48] 然后获得一些收益之后
[00:42:49] 就想说
[00:42:50] 以后都要打团战
[00:42:51] 后来没有又再缩回来
[00:42:52] 所以下面
[00:42:52] 又全部在做自己
[00:42:53] 我觉得这是很好的事情
[00:42:54] 那确实啊
[00:42:55] 股品好绩效
[00:42:55] 真的会比较好一点
[00:42:57] 因为你在做的事情
[00:42:58] 你去雷到别人
[00:42:58] 你去怎么样
[00:42:59] 其实某个程度上
[00:43:00] 你都是在别人的
[00:43:01] 印象分数里面被扣分的
[00:43:03] 所以以后有一件好事情
[00:43:04] 就不一定会找到你
[00:43:04] 然后做就对了
[00:43:06] 绝对就是做就对了
[00:43:06] 就是我在那边讲的
[00:43:08] 就是一堆人整天在问
[00:43:09] 你还看出来说
[00:43:10] 都同一个人在问的
[00:43:11] 那你不赶快就要去做
[00:43:12] 你整天问
[00:43:13] 你问一辈子
[00:43:13] 你也不会进步
[00:43:14] 然后最后面
[00:43:15] 这个股灾体感
[00:43:16] 手抖的时候
[00:43:17] 买进大盘回头看都很甜
[00:43:18] 没错
[00:43:19] 甚至有一个说法
[00:43:19] 这样说
[00:43:20] 你买在你身体
[00:43:21] 很不舒服的地方
[00:43:22] 一般来讲
[00:43:22] 你后来回头看
[00:43:23] 都会注意到是对的
[00:43:24] 这个是一个很有趣
[00:43:25] 要花时间去体会的东西
[00:43:27] 那下面一位
[00:43:28] 周周周周亚当
[00:43:30] 梦公梦公我阿公
[00:43:31] 梦公去嘎
[00:43:32] 你好上集留言完
[00:43:33] 我就用LinePay
[00:43:34] 捐了喊病基金会10万
[00:43:36] 我有个喊病的孩子
[00:43:37] 平时受到帮助很多
[00:43:39] 结果捐出去
[00:43:40] 马上要接到银行打来
[00:43:41] 问是不是被诈骗
[00:43:42] 然后LinePay
[00:43:42] 账号就被停权了
[00:43:43] 台湾搞出一堆麻烦制度
[00:43:45] 快乐宝贝
[00:43:46] 是不是也要负很大的责任
[00:43:47] 干
[00:43:47] 但又想到你说的
[00:43:49] 要不是有这些快乐宝贝
[00:43:50] 我们正常人也没办法
[00:43:52] 过上相对较好的生活
[00:43:53] 所以还是算了
[00:43:54] 快乐宝贝爱你
[00:43:55] 我跟讲
[00:43:56] 这真的是一个
[00:43:57] 很复杂的情绪
[00:43:58] 我这样是
[00:43:59] 在前几集不是提到说
[00:44:01] 有个听众来寻求我的帮忙吗
[00:44:02] 我本来是打算
[00:44:03] 我直接打钱给你
[00:44:03] 这最快
[00:44:04] 我钱给你
[00:44:05] 你要干嘛
[00:44:05] 你就自己去做
[00:44:06] 后来发现说
[00:44:06] 不对啊
[00:44:07] 我钱给你
[00:44:07] 大概我账号被锁起来
[00:44:08] 妈逼耶
[00:44:09] 所以我后来做法怎么样
[00:44:10] 我就是买礼券
[00:44:11] 我后来发现买礼券
[00:44:12] 是一个很好做法
[00:44:13] 我全联买个几万
[00:44:14] Saven买个几万
[00:44:15] 我就送你礼券嘛
[00:44:16] 这样就解决问题
[00:44:17] 所以以后可以考虑
[00:44:18] 用送礼券的方式
[00:44:18] 因为那已经是累现金了嘛
[00:44:20] 那你的交易对象
[00:44:21] 是这些商城
[00:44:22] 就比较不会遇到说
[00:44:23] 可能被扣住的问题
[00:44:24] 那确实我自己也是
[00:44:26] 非常不爽
[00:44:27] 就是因为我们要去打炸
[00:44:29] 然后导致的
[00:44:30] 像大家的银行账号
[00:44:32] 你甚至有时候觉得
[00:44:32] 你的银行账号不是你的嘛
[00:44:33] 你要汇款你要什么
[00:44:34] 那个行员是你老爸
[00:44:36] 你要拜托他
[00:44:37] 你要跟他解释一万年
[00:44:38] 他还要问你说
[00:44:39] 像我去设约定账号
[00:44:41] 你有买过他的东西吗
[00:44:42] 你会给我看他的报价单
[00:44:44] 为什么要给你看他的报价单
[00:44:46] 到底他妈干你屁事
[00:44:47] 我心中想着这样
[00:44:47] 但我现在不会去乱喷
[00:44:48] 因为你知道什么
[00:44:49] 你乱喷他
[00:44:49] 他直接flag你账号
[00:44:51] 你更惨
[00:44:51] 你就只能够好好跟他解释
[00:44:52] 说有我买过
[00:44:53] 你要看报价单
[00:44:54] 好好传给你看
[00:44:55] 这我钱你带他干嘛
[00:44:56] 然后他们讲说
[00:44:57] 为了去防止打炸
[00:44:58] 我还要强调
[00:44:59] 诈骗的全家死一死
[00:45:01] 我超级不爽
[00:45:02] 这些他妈诈骗在
[00:45:02] 可是整天被诈骗的
[00:45:04] 我真的也得老实讲一句
[00:45:06] 你的智慧没有涨到
[00:45:07] 你就是一定会一直被诈骗
[00:45:08] 所以这些人
[00:45:10] 就算你去设重重的关卡
[00:45:12] 你去看一下
[00:45:13] 那个打炸仪表板
[00:45:14] 大家稍微去看一下
[00:45:15] 你看前面
[00:45:15] 我们银行已经绑门绑多久
[00:45:17] 那个数字还是可以创新高
[00:45:18] 就是说其实问题
[00:45:19] 或许真的不在这里
[00:45:21] 这只是其中一环
[00:45:22] 我也知道说
[00:45:23] 行员他也不想这样
[00:45:24] 你去问每个行员
[00:45:25] 一定会告诉你
[00:45:25] 他也不想这样
[00:45:26] 是因为后来
[00:45:27] 他们那些被诈骗
[00:45:28] 就跑了去讲说
[00:45:29] 银行为什么那时候
[00:45:30] 没有去净什么义务
[00:45:31] 净杀小义务
[00:45:32] 你妈的你爸爸
[00:45:33] 还是你自己是白痴
[00:45:34] 活该被骗
[00:45:34] 为什么人家还要babyc
[00:45:36] 你他们都几岁
[00:45:37] 就他们去靠背
[00:45:38] 可能一些单位
[00:45:39] 那些管理单位
[00:45:41] 又没有担当
[00:45:41] 不敢去讲出
[00:45:42] 我讲的这种话
[00:45:43] 因为讲的可能怕被供舍
[00:45:44] 我也可以理解他们
[00:45:45] 但反正总之就是
[00:45:46] 好那就只好叫银行去收紧
[00:45:48] 对不对
[00:45:48] 你什么约定转账
[00:45:49] 以后再多拉个几天
[00:45:50] 类似这样
[00:45:51] 所以确实我们家的世界
[00:45:53] 已经很像是说
[00:45:54] 我们为了一些
[00:45:55] 会受害的快乐宝贝
[00:45:56] 导致绝大多数的正常人
[00:45:58] 我们生活全部都被影响了
[00:45:59] 可是当你出来讲这个
[00:46:00] 他们又讲说
[00:46:01] 怎样
[00:46:01] 你现在是同情诈骗吗
[00:46:02] 你是要鼓励诈骗吗
[00:46:03] 所以超难
[00:46:04] 那我的选项就是
[00:46:05] 老实不讲
[00:46:05] 反正我们是有方法的人
[00:46:07] 我们就弯嘛
[00:46:08] 对不对
[00:46:08] 像我刚才讲的
[00:46:09] 你不能够捐现金
[00:46:10] 那你就买礼券嘛
[00:46:11] 反正大家共体时间
[00:46:13] 好不好
[00:46:13] 下面一位
[00:46:14] 天天天天天
[00:46:16] 古埃五星推荐
[00:46:17] 那留言密码测试七一七
[00:46:18] 下面一位
[00:46:18] 剪刀石头布
[00:46:19] 我出剪刀
[00:46:20] 因为你是我的全部
[00:46:22] 一百分
[00:46:24] 这句好
[00:46:25] 这我第一次听到
[00:46:26] 他说
[00:46:26] 为什么这样子
[00:46:28] 你拉着我
[00:46:29] 说你有些犹豫
[00:46:31] 老婆我的超人装
[00:46:33] 那我还蛮喜欢
[00:46:33] 大家这样
[00:46:34] 突然留一个歌词
[00:46:35] 好像以前回到那种
[00:46:36] KTV乱唱歌的感觉
[00:46:38] 虽然可能有些听众
[00:46:38] 讲说你那唱傻小
[00:46:39] 但我还蛮喜欢的
[00:46:40] 老婆的超人装呢
[00:46:42] 什么
[00:46:42] 我的超人装到哪去了
[00:46:44] 我收起来了
[00:46:45] 在哪
[00:46:46] 你为什么想知道
[00:46:47] 我需要他
[00:46:47] 你休想跑去
[00:46:49] 新侠仗义
[00:46:49] 这个晚餐
[00:46:50] 我们已经计划两个月了
[00:46:51] 大众有危险吗
[00:46:52] 我的晚餐约会
[00:46:53] 才会有危险
[00:46:54] 告诉我
[00:46:55] 我的衣服在哪
[00:46:55] 女人
[00:46:56] 我们说的是崇高的大爱
[00:46:57] 大爱
[00:46:58] 我是你的老婆
[00:46:59] 我就是你这辈子
[00:47:00] 最崇高的大爱
[00:47:01] MK敢像酷冰霞一样
[00:47:03] 用这种语气
[00:47:04] 跟你宝说话吗
[00:47:05] 一般来讲是
[00:47:07] 不太敢
[00:47:08] 就是怎么讲
[00:47:09] 我觉得结婚之后
[00:47:10] 有点像说寄人篱下
[00:47:11] 即便可能防止登记
[00:47:12] 在你自己的名下
[00:47:13] 但你就是寄人篱下
[00:47:14] 所以你就是要尊重一下
[00:47:16] 因为我还是得说
[00:47:17] 就是我们这些态度
[00:47:18] 也不是说什么我们是老婆狗
[00:47:20] 当然在一些眼中就是
[00:47:21] 但我觉得
[00:47:22] 特别是有小孩之后
[00:47:23] 那个感受很深
[00:47:24] 因为你付我两亿
[00:47:26] 叫我去把诺亚
[00:47:28] 他妈他头那么大一颗
[00:47:29] 从而塞康伸出来
[00:47:30] 因为我没有阴到
[00:47:31] 我只能够假设说
[00:47:32] 就类似方法
[00:47:33] 上次某个洞要打开
[00:47:34] 要伸那个孩子出来
[00:47:35] 你给我两亿
[00:47:36] 我都跟你说不要
[00:47:37] 所以你会知道说
[00:47:38] 就是太太付出的东西
[00:47:39] 真的太大了
[00:47:40] 所以就多让他
[00:47:41] 我们讲话就客气一点
[00:47:42] 这个是我给大家的一个
[00:47:44] 共勉之
[00:47:45] 不是只有你在受苦
[00:47:46] 我也是
[00:47:47] 我们一起忍耐
[00:47:47] 因为他们也受了不少苦
[00:47:48] 差不多这样的一个概念
[00:47:49] 下面一位
[00:47:50] PXZ
[00:47:51] 我还是不懂上次的
